# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
3.9781826031e-01 7.7248271919e-05 1.9891784800e-03 7.3832728233e+02 3.6102659720e-01 1.9580033889e+01 1.9671060740e+01 4.0171371558e-02 1.1126983959e-01 1.0130308075e+00 1.0000000000e+00 0.0000000000e+00 7.2883258319e+02
3.8899612472e-01 8.0996612290e-05 1.9735745253e-03 7.3831620764e+02 3.5305934395e-01 1.9568959201e+01 1.9659236203e+01 3.9229114824e-02 1.1111195751e-01 1.0132650860e+00 1.0000000000e+00 0.0000000000e+00 7.2899870351e+02
3.7874171891e-01 8.4927798533e-05 1.9549727440e-03 7.3832728233e+02 3.4374343200e-01 1.9565267638e+01 1.9663180119e+01 3.8189169338e-02 1.1109788808e-01 1.0135220837e+00 1.0000000000e+00 0.0000000000e+00 7.2917220695e+02
3.6791620282e-01 8.9041830648e-05 1.9331455231e-03 7.3832359077e+02 3.3390381734e-01 1.9561576076e+01 1.9667023093e+01 3.7096263743e-02 1.1109865122e-01 1.0137832634e+00 1.0000000000e+00 0.0000000000e+00 7.2933094415e+02
3.5923894001e-01 9.3338708634e-05 1.9161212398e-03 7.3832728233e+02 3.2599685022e-01 1.9565267638e+01 1.9668811194e+01 3.6240416073e-02 1.1116799456e-01 1.0139886524e+00 1.0000000000e+00 0.0000000000e+00 7.2945276571e+02
3.5161498075e-01 9.7818432492e-05 1.9002914429e-03 7.3832359077e+02 3.1910101423e-01 1.9561576076e+01 1.9669669194e+01 3.5437383708e-02 1.1105381095e-01 1.0141806857e+00 1.0000000000e+00 0.0000000000e+00 7.2955243791e+02
3.4581135059e-01 1.0248100222e-04 1.8899917603e-03 7.3832359077e+02 3.1381727179e-01 1.9546809825e+01 1.9658104220e+01 3.4860636386e-02 1.1108577991e-01 1.0143279246e+00 1.0000000000e+00 0.0000000000e+00 7.2962626916e+02
3.4060686711e-01 1.0732641782e-04 1.8789291382e-03 7.3831620764e+02 3.0906400085e-01 1.9554192950e+01 1.9659769749e+01 3.4358278620e-02 1.1116881463e-01 1.0144628990e+00 1.0000000000e+00 0.0000000000e+00 7.2966318478e+02
3.2971389712e-01 1.1235467930e-04 1.8564224243e-03 7.3831989920e+02 2.9917575548e-01 1.9543118262e+01 1.9661067564e+01 3.3247016025e-02 1.1112871085e-01 1.0147624024e+00 1.0000000000e+00 0.0000000000e+00 7.2978500635e+02
3.1747375177e-01 1.1756578664e-04 1.8278121948e-03 7.3831989920e+02 2.8805401842e-01 1.9557884513e+01 1.9664845648e+01 3.2008898347e-02 1.1112116582e-01 1.0150812512e+00 1.0000000000e+00 0.0000000000e+00 7.2987360386e+02
3.0363264221e-01 1.2295973986e-04 1.7953872681e-03 7.3832359077e+02 2.7547888591e-01 1.9561576076e+01 1.9671212152e+01 3.0608034450e-02 1.1110845882e-01 1.0154286249e+00 1.0000000000e+00 0.0000000000e+00 7.2996589292e+02
2.8906328711e-01 1.2853653895e-04 1.7610549927e-03 7.3831436186e+02 2.6223605457e-01 1.9552347169e+01 1.9659048741e+01 2.9139977536e-02 1.1112117128e-01 1.0157802056e+00 1.0000000000e+00 0.0000000000e+00 7.3001572902e+02
2.7230352223e-01 1.3429618391e-04 1.7193835796e-03 7.3831620764e+02 2.4696798528e-01 1.9554192950e+01 1.9663151279e+01 2.7485747870e-02 1.1129275658e-01 1.0161653348e+00 1.0000000000e+00 0.0000000000e+00 7.3003234105e+02
2.5519795361e-01 1.4023867474e-04 1.6720533371e-03 7.3831989920e+02 2.3146546589e-01 1.9557884513e+01 1.9666756320e+01 2.5717283075e-02 1.1110635004e-01 1.0165556974e+00 1.0000000000e+00 0.0000000000e+00 7.2999173386e+02
2.3597817432e-01 1.4636401144e-04 1.6176223755e-03 7.3831436186e+02 2.1401191231e-01 1.9552347169e+01 1.9657440893e+01 2.3765651518e-02 1.1104826484e-01 1.0169791215e+00 1.0000000000e+00 0.0000000000e+00 7.2983853401e+02
2.1551737959e-01 1.5267219402e-04 1.5558242798e-03 7.3831805342e+02 1.9540852119e-01 1.9556038732e+01 1.9662653783e+01 2.1711161571e-02 1.1110652411e-01 1.0174163076e+00 1.0000000000e+00 0.0000000000e+00 7.2954690056e+02
1.9378648196e-01 1.5916322246e-04 1.4850378036e-03 7.3832174499e+02 1.7566429510e-01 1.9559730294e+01 1.9667715261e+01 1.9515495513e-02 1.1109540218e-01 1.0178780192e+00 1.0000000000e+00 0.0000000000e+00 7.2898947460e+02
