# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
6.0066269671e-01 9.3338708634e-05 1.9156932831e-04 5.8977513847e+02 4.6312798725e-01 2.4430389594e+02 2.4491906656e+02 1.3893476446e+00 2.9999215829e+00 1.0210188880e-01 1.0000000000e-01 0.0000000000e+00 3.8941184068e+02
5.9602855274e-01 9.7818432492e-05 1.9037723541e-04 6.0044006297e+02 4.5952994253e-01 2.4431127906e+02 2.4492623338e+02 1.3787363382e+00 3.0003188272e+00 1.0211686821e-01 1.0000000000e-01 0.0000000000e+00 3.9795411666e+02
5.9259418691e-01 1.0248100222e-04 1.8947124481e-04 6.0846251358e+02 4.5687206807e-01 2.4432973688e+02 2.4493886544e+02 1.3707931660e+00 3.0003873333e+00 1.0212821667e-01 1.0000000000e-01 0.0000000000e+00 4.0445495849e+02
5.8951293135e-01 1.0732641782e-04 1.8866062164e-04 6.1578012085e+02 4.5452071304e-01 2.4433342844e+02 2.4494268679e+02 1.3633415199e+00 2.9995146113e+00 1.0213899893e-01 1.0000000000e-01 0.0000000000e+00 4.1043898155e+02
5.8277574308e-01 1.1235467930e-04 1.8694400787e-04 6.3201071054e+02 4.4929268549e-01 2.4435188625e+02 2.4495908973e+02 1.3478987614e+00 3.0000460835e+00 1.0216274313e-01 1.0000000000e-01 0.0000000000e+00 4.2385042867e+02
5.7474494511e-01 1.1756578664e-04 1.8494129181e-04 6.5153534215e+02 4.4307028517e-01 2.4435926938e+02 2.4497265190e+02 1.3294027699e+00 3.0004331466e+00 1.0218809233e-01 1.0000000000e-01 0.0000000000e+00 4.4029264872e+02
5.6503187935e-01 1.2295973986e-04 1.8250942230e-04 6.7545262328e+02 4.3557660491e-01 2.4438141876e+02 2.4499249404e+02 1.3067334607e+00 3.0000083704e+00 1.0221531160e-01 1.0000000000e-01 0.0000000000e+00 4.6094325020e+02
5.5404336530e-01 1.2853653895e-04 1.7983913422e-04 7.0274260113e+02 4.2707132556e-01 2.4439803079e+02 2.4501154308e+02 1.2813681128e+00 3.0003609143e+00 1.0224265507e-01 1.0000000000e-01 0.0000000000e+00 4.8513221448e+02
5.4052135574e-01 1.3429618391e-04 1.7659664154e-04 7.3695461946e+02 4.1661812552e-01 2.4443494641e+02 2.4503344732e+02 1.2500467514e+00 3.0004617533e+00 1.0227267614e-01 1.0000000000e-01 0.0000000000e+00 5.1651788015e+02
5.2503456707e-01 1.4023867474e-04 1.7297267914e-04 7.7701774296e+02 4.0463907142e-01 2.4444786688e+02 2.4504476715e+02 1.2142643127e+00 3.0008577977e+00 1.0230335816e-01 1.0000000000e-01 0.0000000000e+00 5.5480492220e+02
5.0635463127e-01 1.4636401144e-04 1.6863346100e-04 8.2681323158e+02 3.9020263914e-01 2.4448293673e+02 2.4507640499e+02 1.1710195313e+00 3.0010548722e+00 1.0233670979e-01 1.0000000000e-01 0.0000000000e+00 6.0477945161e+02
4.8466752949e-01 1.5267219402e-04 1.6367435455e-04 8.8626529292e+02 3.7348942939e-01 2.4450139454e+02 2.4510152492e+02 1.1203905578e+00 2.9997918807e+00 1.0237155872e-01 1.0000000000e-01 0.0000000000e+00 6.6798269579e+02
