# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.9267117745e-01 4.0679097569e-05 2.3768353151e-03 7.3832728233e+02 2.3590629910e-01 1.9565267638e+01 1.9658450304e+01 5.9084421743e-02 2.5045716019e-01 1.0114302852e+00 1.0000000000e+00 0.0000000000e+00 7.2908360945e+02
2.9311707422e-01 4.0770520505e-05 2.3766217238e-03 7.3831989920e+02 2.3641977680e-01 1.9557884513e+01 1.9658753128e+01 5.9021409290e-02 2.4964666700e-01 1.0114356992e+00 1.0000000000e+00 0.0000000000e+00 7.2907622632e+02
2.9249950376e-01 4.1044789312e-05 2.3758888245e-03 7.3831989920e+02 2.3586144430e-01 1.9557884513e+01 1.9659639968e+01 5.8956111800e-02 2.4996078513e-01 1.0114516707e+00 1.0000000000e+00 0.0000000000e+00 7.2907622632e+02
2.9130351811e-01 4.1501903992e-05 2.3740485818e-03 7.3832728233e+02 2.3474547764e-01 1.9565267638e+01 1.9659510186e+01 5.8864218180e-02 2.5075762384e-01 1.0114766932e+00 1.0000000000e+00 0.0000000000e+00 7.2908360945e+02
2.9040852921e-01 4.2141864543e-05 2.3717124903e-03 7.3832728233e+02 2.3401832544e-01 1.9565267638e+01 1.9657815817e+01 5.8687661549e-02 2.5078233270e-01 1.0115118399e+00 1.0000000000e+00 0.0000000000e+00 7.2906884320e+02
2.8981456334e-01 4.2964670966e-05 2.3680632440e-03 7.3832728233e+02 2.3367042830e-01 1.9565267638e+01 1.9657988859e+01 5.8435911836e-02 2.5007833581e-01 1.0115548754e+00 1.0000000000e+00 0.0000000000e+00 7.2906884320e+02
2.8902719081e-01 4.3970323261e-05 2.3625640397e-03 7.3831989920e+02 2.3318899806e-01 1.9572650764e+01 1.9671017479e+01 5.8122314708e-02 2.4924981535e-01 1.0116080942e+00 1.0000000000e+00 0.0000000000e+00 7.2906146007e+02
2.8646847648e-01 4.5158821427e-05 2.3592174904e-03 7.3831989920e+02 2.3088913919e-01 1.9572650764e+01 1.9661968825e+01 5.7838378519e-02 2.5050281153e-01 1.0116765707e+00 1.0000000000e+00 0.0000000000e+00 7.2904669382e+02
2.8500194411e-01 4.6530165465e-05 2.3552894592e-03 7.3831989920e+02 2.2981553728e-01 1.9557884513e+01 1.9660923363e+01 5.7431491796e-02 2.4990256306e-01 1.0117534460e+00 1.0000000000e+00 0.0000000000e+00 7.2906146007e+02
2.8278464560e-01 4.8084355375e-05 2.3486137390e-03 7.3832728233e+02 2.2799580544e-01 1.9565267638e+01 1.9662459111e+01 5.7012240719e-02 2.5005828773e-01 1.0118375669e+00 1.0000000000e+00 0.0000000000e+00 7.2905407695e+02
2.8046675742e-01 4.9821391157e-05 2.3409843445e-03 7.3831989920e+02 2.2613269471e-01 1.9557884513e+01 1.9663836236e+01 5.6534844673e-02 2.5000738944e-01 1.0119312396e+00 1.0000000000e+00 0.0000000000e+00 7.2903192757e+02
2.7780959531e-01 5.1741272810e-05 2.3338270810e-03 7.3831989920e+02 2.2395940635e-01 1.9557884513e+01 1.9663547833e+01 5.6025152395e-02 2.5015762145e-01 1.0120343205e+00 1.0000000000e+00 0.0000000000e+00 7.2903192757e+02
2.7504170058e-01 5.3844000335e-05 2.3251533508e-03 7.3831989920e+02 2.2176338954e-01 1.9557884513e+01 1.9664218371e+01 5.5426452743e-02 2.4993509009e-01 1.0121516381e+00 1.0000000000e+00 0.0000000000e+00 7.2901716132e+02
2.7192243020e-01 5.6129573732e-05 2.3161888123e-03 7.3831989920e+02 2.1923129882e-01 1.9557884513e+01 1.9669178908e+01 5.4809015797e-02 2.5000543304e-01 1.0122753439e+00 1.0000000000e+00 0.0000000000e+00 7.2901716132e+02
2.6848934804e-01 5.8597993001e-05 2.3051261902e-03 7.3832728233e+02 2.1645236776e-01 1.9565267638e+01 1.9669640354e+01 5.4121495002e-02 2.5003882176e-01 1.0124117695e+00 1.0000000000e+00 0.0000000000e+00 7.2900977820e+02
2.6488637995e-01 6.1249258141e-05 2.2940635681e-03 7.3832728233e+02 2.1354934905e-01 1.9565267638e+01 1.9671536605e+01 5.3386672153e-02 2.4999688546e-01 1.0125572420e+00 1.0000000000e+00 0.0000000000e+00 7.2898024569e+02
2.6078346824e-01 6.4083369153e-05 2.2833824158e-03 7.3832728233e+02 2.1022286945e-01 1.9550501388e+01 1.9660808001e+01 5.2570749364e-02 2.5007150507e-01 1.0127210317e+00 1.0000000000e+00 0.0000000000e+00 7.2896547944e+02
2.5661538737e-01 6.7100326037e-05 2.2690773010e-03 7.3831989920e+02 2.0687091757e-01 1.9557884513e+01 1.9661565060e+01 5.1714250225e-02 2.4998318194e-01 1.0128878906e+00 1.0000000000e+00 0.0000000000e+00 7.2894333007e+02
2.5152093308e-01 7.0300128793e-05 2.2545872362e-03 7.3831989920e+02 2.0264930278e-01 1.9557884513e+01 1.9664672606e+01 5.0792130928e-02 2.5064054123e-01 1.0130738752e+00 1.0000000000e+00 0.0000000000e+00 7.2889903132e+02
2.4649866167e-01 7.3682777420e-05 2.2376401935e-03 7.3832728233e+02 1.9856790137e-01 1.9565267638e+01 1.9669114017e+01 4.9802691597e-02 2.5080937680e-01 1.0132661727e+00 1.0000000000e+00 0.0000000000e+00 7.2886211569e+02
2.4147459608e-01 7.7248271919e-05 2.2192955017e-03 7.3831989920e+02 1.9463138306e-01 1.9557884513e+01 1.9671060740e+01 4.8666960670e-02 2.5004683163e-01 1.0134787638e+00 1.0000000000e+00 0.0000000000e+00 7.2881043381e+02
2.3521480882e-01 8.0996612290e-05 2.2008412676e-03 7.3832728233e+02 1.8945171778e-01 1.9550501388e+01 1.9659236203e+01 4.7526559796e-02 2.5086370476e-01 1.0137022322e+00 1.0000000000e+00 0.0000000000e+00 7.2874398568e+02
2.2924945893e-01 8.4927798533e-05 2.1769523621e-03 7.3831620764e+02 1.8474811998e-01 1.9554192950e+01 1.9663180119e+01 4.6207522537e-02 2.5011092152e-01 1.0139432137e+00 1.0000000000e+00 0.0000000000e+00 7.2864431349e+02
2.2193966623e-01 8.9041830648e-05 2.1526115944e-03 7.3832359077e+02 1.7868169592e-01 1.9561576076e+01 1.9667023093e+01 4.4893670611e-02 2.5124940963e-01 1.0141935684e+00 1.0000000000e+00 0.0000000000e+00 7.2851880036e+02
2.1735701403e-01 9.3338708634e-05 2.1315574646e-03 7.3832728233e+02 1.7514726004e-01 1.9565267638e+01 1.9668811194e+01 4.3801614544e-02 2.5008449765e-01 1.0143867447e+00 1.0000000000e+00 0.0000000000e+00 7.2843389442e+02
2.1267553557e-01 9.7818432492e-05 2.1138191223e-03 7.3831989920e+02 1.7139332471e-01 1.9557884513e+01 1.9669669194e+01 4.2829311537e-02 2.4988902928e-01 1.0145711595e+00 1.0000000000e+00 0.0000000000e+00 7.2830838129e+02
2.0908679928e-01 1.0248100222e-04 2.1011985010e-03 7.3832728233e+02 1.6846675329e-01 1.9550501388e+01 1.9658104220e+01 4.2132817485e-02 2.5009574091e-01 1.0147113451e+00 1.0000000000e+00 0.0000000000e+00 7.2822716691e+02
