# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
3.1339299541e-01 4.0679097569e-05 5.5407292774e-04 7.3831991002e+02 2.6536644497e-01 1.4611201374e+01 1.4658719202e+01 2.9746381531e-02 1.1209548944e-01 1.6944923187e+00 1.6714000000e+00 0.0000000000e+00 7.3071529096e+02
3.1502492893e-01 4.0770520505e-05 5.5400133133e-04 7.3832729315e+02 2.6711742412e-01 1.4603818248e+01 1.4658740833e+01 2.9685249704e-02 1.1113183575e-01 1.6945002775e+00 1.6714000000e+00 0.0000000000e+00 7.3070790783e+02
3.1441140028e-01 4.1044789312e-05 5.5326105769e-04 7.3831991002e+02 2.6655564738e-01 1.4611201374e+01 1.4659151807e+01 2.9651871149e-02 1.1124082885e-01 1.6945150250e+00 1.6714000000e+00 0.0000000000e+00 7.3070052471e+02
3.1392015253e-01 4.1501903992e-05 5.5432319641e-04 7.3832729315e+02 2.6620624842e-01 1.4589051998e+01 1.4645575221e+01 2.9564103248e-02 1.1105713492e-01 1.6945787386e+00 1.6714000000e+00 0.0000000000e+00 7.3072267408e+02
3.1276846228e-01 4.2141864543e-05 5.5375099182e-04 7.3832729315e+02 2.6520007585e-01 1.4589051998e+01 1.4646289019e+01 2.9472023210e-02 1.1113127745e-01 1.6946318942e+00 1.6714000000e+00 0.0000000000e+00 7.3072267408e+02
3.1071430659e-01 4.2964670966e-05 5.5267227443e-04 7.3831991002e+02 2.6329341381e-01 1.4596435123e+01 1.4646743254e+01 2.9374149366e-02 1.1156431504e-01 1.6946932799e+00 1.6714000000e+00 0.0000000000e+00 7.3071529096e+02
3.0852299770e-01 4.3970323261e-05 5.5183559790e-04 7.3831991002e+02 2.6132020710e-01 1.4596435123e+01 1.4647089338e+01 2.9233470180e-02 1.1186838746e-01 1.6947811464e+00 1.6714000000e+00 0.0000000000e+00 7.3071529096e+02
3.0806391905e-01 4.5158821427e-05 5.5077825531e-04 7.3832729315e+02 2.6122533466e-01 1.4589051998e+01 1.4646584632e+01 2.9016342001e-02 1.1107782497e-01 1.6948816136e+00 1.6714000000e+00 0.0000000000e+00 7.3072267408e+02
3.0578047989e-01 4.6530165465e-05 5.4898262024e-04 7.3831991002e+02 2.5924879939e-01 1.4596435123e+01 1.4648408783e+01 2.8823487014e-02 1.1118079266e-01 1.6949847383e+00 1.6714000000e+00 0.0000000000e+00 7.3070052471e+02
3.0396226358e-01 4.8084355375e-05 5.4726419439e-04 7.3831991002e+02 2.5783200246e-01 1.4596435123e+01 1.4649598447e+01 2.8577234523e-02 1.1083664654e-01 1.6951100703e+00 1.6714000000e+00 0.0000000000e+00 7.3070052471e+02
2.9999358951e-01 4.9821391157e-05 5.4538494452e-04 7.3832729315e+02 2.5420623494e-01 1.4603818248e+01 1.4649144212e+01 2.8353563089e-02 1.1153763831e-01 1.6952509298e+00 1.6714000000e+00 0.0000000000e+00 7.3070790783e+02
2.9661614826e-01 5.1741272810e-05 5.4364634469e-04 7.3832729315e+02 2.5124729245e-01 1.4603818248e+01 1.4653008816e+01 2.8088341825e-02 1.1179560007e-01 1.6954073417e+00 1.6714000000e+00 0.0000000000e+00 7.3070790783e+02
2.9345152380e-01 5.3844000335e-05 5.4142137625e-04 7.3832729315e+02 2.4859758495e-01 1.4603818248e+01 1.4654703186e+01 2.7767680132e-02 1.1169730445e-01 1.6955830711e+00 1.6714000000e+00 0.0000000000e+00 7.3070790783e+02
2.9104950472e-01 5.6129573732e-05 5.3877830505e-04 7.3832729315e+02 2.4678283501e-01 1.4603818248e+01 1.4655416984e+01 2.7408866196e-02 1.1106471889e-01 1.6957628684e+00 1.6714000000e+00 0.0000000000e+00 7.3069314158e+02
2.8720605670e-01 5.8597993001e-05 5.3563117981e-04 7.3831991002e+02 2.4353075251e-01 1.4611201374e+01 1.4656938312e+01 2.7039876834e-02 1.1103269938e-01 1.6959613245e+00 1.6714000000e+00 0.0000000000e+00 7.3068575845e+02
