# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.5112785640e-01 9.3338708634e-05 2.6380538940e-03 7.3831621485e+02 2.1352324863e-01 1.1698554836e+01 1.1771578334e+01 2.3725387167e-02 1.1111383571e-01 1.6930878035e+00 1.6714000000e+00 0.0000000000e+00 7.3220298710e+02
2.4599571427e-01 9.7818432492e-05 2.6219047011e-03 7.3832359798e+02 2.0898518407e-01 1.1705937961e+01 1.1766098671e+01 2.3339488624e-02 1.1168011133e-01 1.6933012356e+00 1.6714000000e+00 0.0000000000e+00 7.3218083772e+02
2.4356214021e-01 1.0248100222e-04 2.6090621948e-03 7.3832359798e+02 2.0705607675e-01 1.1705937961e+01 1.1771369242e+01 2.3023103720e-02 1.1119260097e-01 1.6934628886e+00 1.6714000000e+00 0.0000000000e+00 7.3215130522e+02
2.3944530284e-01 1.0732641782e-04 2.6001506492e-03 7.3831990641e+02 2.0332850020e-01 1.1702246398e+01 1.1767692099e+01 2.2765962841e-02 1.1196641306e-01 1.6936281660e+00 1.6714000000e+00 0.0000000000e+00 7.3211808116e+02
2.3309332186e-01 1.1235467930e-04 2.5730523257e-03 7.3832728954e+02 1.9795092146e-01 1.1709629524e+01 1.1770756385e+01 2.2145141136e-02 1.1187187699e-01 1.6939716493e+00 1.6714000000e+00 0.0000000000e+00 7.3206639928e+02
2.2605506584e-01 1.1756578664e-04 2.5426676284e-03 7.3832728954e+02 1.9202864360e-01 1.1709629524e+01 1.1771484603e+01 2.1435589783e-02 1.1162704366e-01 1.6943434157e+00 1.6714000000e+00 0.0000000000e+00 7.3199256803e+02
2.1798505610e-01 1.2295973986e-04 2.5082227322e-03 7.3831990641e+02 1.8522300906e-01 1.1702246398e+01 1.1765089259e+01 2.0631211595e-02 1.1138579218e-01 1.6947478981e+00 1.6714000000e+00 0.0000000000e+00 7.3188182115e+02
2.0982041090e-01 1.2853653895e-04 2.4672321312e-03 7.3832359798e+02 1.7840347123e-01 1.1705937961e+01 1.1769811864e+01 1.9777766720e-02 1.1085976401e-01 1.6951432424e+00 1.6714000000e+00 0.0000000000e+00 7.3175261646e+02
2.0060365055e-01 1.3429618391e-04 2.4196705043e-03 7.3831806063e+02 1.7073328259e-01 1.1700400617e+01 1.1771636015e+01 1.8797572671e-02 1.1009905266e-01 1.6955791708e+00 1.6714000000e+00 0.0000000000e+00 7.3158465036e+02
1.8797812473e-01 1.4023867474e-04 2.3685657628e-03 7.3831806063e+02 1.5961209651e-01 1.1707783742e+01 1.1767583948e+01 1.7822643804e-02 1.1166223735e-01 1.6960247366e+00 1.6714000000e+00 0.0000000000e+00 7.3130409159e+02
1.7639015548e-01 1.4636401144e-04 2.3052008623e-03 7.3832544376e+02 1.4983133537e-01 1.1707783742e+01 1.1770186788e+01 1.6672308326e-02 1.1127384192e-01 1.6964953947e+00 1.6714000000e+00 0.0000000000e+00 7.3095708470e+02
1.6375913480e-01 1.5267219402e-04 2.2347049891e-03 7.3831806063e+02 1.3912332193e-01 1.1700400617e+01 1.1765615595e+01 1.5446472787e-02 1.1102719926e-01 1.6969815523e+00 1.6714000000e+00 0.0000000000e+00 7.3040335031e+02
1.4995435260e-01 1.5916322246e-04 2.1521348397e-03 7.3832175220e+02 1.2739923264e-01 1.1696709055e+01 1.1767879562e+01 1.4119093747e-02 1.1082557920e-01 1.6974891540e+00 1.6714000000e+00 0.0000000000e+00 7.2956536558e+02
1.3455326652e-01 1.6583709678e-04 2.0556675988e-03 7.3831990641e+02 1.1421867305e-01 1.1702246398e+01 1.1770100267e+01 1.2698231108e-02 1.1117473850e-01 1.6980227528e+00 1.6714000000e+00 0.0000000000e+00 7.2799829724e+02
1.1894709782e-01 1.7269381697e-04 1.9481137140e-03 7.3160863830e+02 1.0091591985e-01 1.1702239188e+01 1.1765305562e+01 1.1226088872e-02 1.1124200115e-01 1.6985678265e+00 1.6714000000e+00 0.0000000000e+00 7.1824518150e+02
1.0231448410e-01 1.7973338304e-04 1.8209457397e-03 6.9589092386e+02 8.6769019557e-02 1.1689318719e+01 1.1767180183e+01 9.6379340374e-03 1.1107575131e-01 1.6991689509e+00 1.6714000000e+00 0.0000000000e+00 6.7371201544e+02
8.8184318605e-02 1.8695579497e-04 1.7078399658e-03 5.2791784381e+02 7.4722053891e-02 1.1678244031e+01 1.1766754789e+01 8.3048590313e-03 1.1114334522e-01 1.6998064480e+00 1.6714000000e+00 0.0000000000e+00 4.6376177271e+02
8.3103186827e-02 1.9436105278e-04 1.6769409180e-03 2.2145488238e+02 7.0397434432e-02 1.1696701844e+01 1.1771340401e+01 7.8196817148e-03 1.1107907238e-01 1.7006743979e+00 1.6714000000e+00 0.0000000000e+00 9.2349962676e+01
8.4106322893e-02 2.0194915645e-04 1.7127990723e-03 1.2595807164e+02 7.1241344492e-02 1.1689318719e+01 1.1767497427e+01 7.9203244979e-03 1.1117595484e-01 1.7016282339e+00 1.6714000000e+00 0.0000000000e+00 3.6437554741e+01
8.6404446852e-02 2.0972010600e-04 1.7619848251e-03 8.5972571892e+01 7.3204843384e-02 1.1691171711e+01 1.1769162956e+01 8.1346459514e-03 1.1112169052e-01 1.7026380430e+00 1.6714000000e+00 0.0000000000e+00 2.3326977191e+01
