# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
6.2125167844e-01 4.0679097569e-05 1.4674663544e-04 5.4493790878e+02 5.4310552366e-01 2.4420422375e+02 2.4482098779e+02 8.1446498779e-01 1.4996440881e+00 1.0177279613e-01 1.0000000000e-01 0.0000000000e+00 3.7782402552e+02
6.2123930685e-01 4.0770520505e-05 1.4674663544e-04 5.4510813164e+02 5.4307717391e-01 2.4421160687e+02 2.4482075707e+02 8.1461968196e-01 1.5000072201e+00 1.0177328653e-01 1.0000000000e-01 0.0000000000e+00 3.7796430490e+02
6.2117442563e-01 4.1044789312e-05 1.4674663544e-04 5.4565767698e+02 5.4300422852e-01 2.4420422375e+02 2.4482294173e+02 8.1468901518e-01 1.5003364106e+00 1.0177475125e-01 1.0000000000e-01 0.0000000000e+00 3.7841467554e+02
6.2106438507e-01 4.1501903992e-05 1.4665126801e-04 5.4665121204e+02 5.4294467434e-01 2.4421899000e+02 2.4482814020e+02 8.1418662337e-01 1.4995756692e+00 1.0177704330e-01 1.0000000000e-01 0.0000000000e+00 3.7927111808e+02
6.2091327012e-01 4.2141864543e-05 1.4660358429e-04 5.4795504745e+02 5.4281245279e-01 2.4421160687e+02 2.4481914201e+02 8.1398274322e-01 1.4995653453e+00 1.0178032374e-01 1.0000000000e-01 0.0000000000e+00 3.8037120375e+02
6.2073729918e-01 4.2964670966e-05 1.4655590057e-04 5.4958058957e+02 5.4263468018e-01 2.4421160687e+02 2.4482686401e+02 8.1397799959e-01 1.5000478763e+00 1.0178448744e-01 1.0000000000e-01 0.0000000000e+00 3.8174446505e+02
6.2049917515e-01 4.3970323261e-05 1.4646053314e-04 5.5171654791e+02 5.4244054394e-01 2.4420422375e+02 2.4482211978e+02 8.1351935730e-01 1.4997392182e+00 1.0178974531e-01 1.0000000000e-01 0.0000000000e+00 3.8356809701e+02
6.2025980963e-01 4.5158821427e-05 1.4636516571e-04 5.5414116914e+02 5.4219498850e-01 2.4422637312e+02 2.4483399478e+02 8.1355229473e-01 1.5004791855e+00 1.0179583377e-01 1.0000000000e-01 0.0000000000e+00 3.8561322271e+02
6.1995425203e-01 4.6530165465e-05 1.4622211456e-04 5.5697384504e+02 5.4196357219e-01 2.4421899000e+02 2.4483153614e+02 8.1279189069e-01 1.4997168304e+00 1.0180261700e-01 1.0000000000e-01 0.0000000000e+00 3.8804227094e+02
6.1962015838e-01 4.8084355375e-05 1.4607906342e-04 5.6022048788e+02 5.4168057085e-01 2.4421899000e+02 2.4483136310e+02 8.1225290261e-01 1.4995053290e+00 1.0181043931e-01 1.0000000000e-01 0.0000000000e+00 3.9081832605e+02
6.1925188564e-01 4.9821391157e-05 1.4593601227e-04 5.6385829936e+02 5.4135140293e-01 2.4421899000e+02 2.4483267534e+02 8.1182607004e-01 1.4996286435e+00 1.0181914544e-01 1.0000000000e-01 0.0000000000e+00 3.9393400493e+02
6.1885680312e-01 5.1741272810e-05 1.4579296112e-04 5.6779188288e+02 5.4098667408e-01 2.4421899000e+02 2.4483604245e+02 8.1148084967e-01 1.5000015500e+00 1.0182846480e-01 1.0000000000e-01 0.0000000000e+00 3.9731547632e+02
6.1840336090e-01 5.3844000335e-05 1.4560222626e-04 5.7238093507e+02 5.4057522693e-01 2.4423375625e+02 2.4483923651e+02 8.1101720655e-01 1.5002855591e+00 1.0183904625e-01 1.0000000000e-01 0.0000000000e+00 4.0127283149e+02
6.1790007944e-01 5.6129573732e-05 1.4541149139e-04 5.7729866612e+02 5.4012503098e-01 2.4423375625e+02 2.4484442056e+02 8.1043766292e-01 1.5004630714e+00 1.0185010139e-01 1.0000000000e-01 0.0000000000e+00 4.0552551166e+02
6.1730279549e-01 5.8597993001e-05 1.4517307281e-04 5.8296281383e+02 5.3962110242e-01 2.4422637312e+02 2.4484082994e+02 8.0945413031e-01 1.5000416527e+00 1.0186235671e-01 1.0000000000e-01 0.0000000000e+00 4.1046482249e+02
6.1664886728e-01 6.1249258141e-05 1.4493465424e-04 5.8906108066e+02 5.3902749018e-01 2.4423375625e+02 2.4484821307e+02 8.0878698275e-01 1.5004559090e+00 1.0187521437e-01 1.0000000000e-01 0.0000000000e+00 4.1577328959e+02
6.1587081976e-01 6.4083369153e-05 1.4460086823e-04 5.9608068799e+02 5.3837745199e-01 2.4424852250e+02 2.4485767270e+02 8.0744798600e-01 1.4997804663e+00 1.0188919820e-01 1.0000000000e-01 0.0000000000e+00 4.2196034859e+02
