# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
4.4919013683e-01 4.0679097569e-05 3.8938522339e-04 7.3832728954e+02 4.0695100550e-01 2.4423371299e+01 2.4483805767e+01 4.5197973588e-02 1.1106490211e-01 1.0138200244e+00 1.0000000000e+00 0.0000000000e+00 7.2147899759e+02
4.4888078030e-01 4.0770520505e-05 3.8945925148e-04 7.3832728954e+02 4.0663148172e-01 2.4423371299e+01 2.4483805767e+01 4.5204882400e-02 1.1116916528e-01 1.0138274777e+00 1.0000000000e+00 0.0000000000e+00 7.2150853010e+02
4.4827117842e-01 4.1044789312e-05 3.8950019129e-04 7.3832728954e+02 4.0603028961e-01 2.4423371299e+01 2.4484411414e+01 4.5190605539e-02 1.1129860677e-01 1.0138477713e+00 1.0000000000e+00 0.0000000000e+00 7.2156759510e+02
4.4757977152e-01 4.1501903992e-05 3.8938719014e-04 7.3832728954e+02 4.0539154901e-01 2.4423371299e+01 2.4482457481e+01 4.5132135904e-02 1.1132974038e-01 1.0138793338e+00 1.0000000000e+00 0.0000000000e+00 7.2164142635e+02
4.4718723714e-01 4.2141864543e-05 3.8914652054e-04 7.3831990641e+02 4.0514172281e-01 2.4415988174e+01 2.4487122405e+01 4.4987838425e-02 1.1104222521e-01 1.0139220479e+00 1.0000000000e+00 0.0000000000e+00 7.2172264073e+02
4.4613914579e-01 4.2964670966e-05 3.8885754481e-04 7.3831990641e+02 4.0420415029e-01 2.4415988174e+01 2.4485723649e+01 4.4869130295e-02 1.1100610982e-01 1.0139762345e+00 1.0000000000e+00 0.0000000000e+00 7.2185553698e+02
4.4455758087e-01 4.3970323261e-05 3.8862228394e-04 7.3831990641e+02 4.0273396795e-01 2.4415988174e+01 2.4488016455e+01 4.4744306405e-02 1.1110139687e-01 1.0140467910e+00 1.0000000000e+00 0.0000000000e+00 7.2201796574e+02
4.4306797081e-01 4.5158821427e-05 3.8815489392e-04 7.3831990641e+02 4.0141378635e-01 2.4415988174e+01 2.4489263800e+01 4.4563498370e-02 1.1101636238e-01 1.0141262149e+00 1.0000000000e+00 0.0000000000e+00 7.2219516075e+02
4.4069008357e-01 4.6530165465e-05 3.8754373554e-04 7.3831990641e+02 3.9913995099e-01 2.4430754424e+01 2.4492032472e+01 4.4439023875e-02 1.1133694777e-01 1.0142145119e+00 1.0000000000e+00 0.0000000000e+00 7.2241665451e+02
4.3904456370e-01 4.8084355375e-05 3.8700032979e-04 7.3832728954e+02 3.9774797373e-01 2.4423371299e+01 2.4491722438e+01 4.4173715026e-02 1.1105956018e-01 1.0143178527e+00 1.0000000000e+00 0.0000000000e+00 7.2263076514e+02
4.3651813013e-01 4.9821391157e-05 3.8671493530e-04 7.3831990641e+02 3.9542690268e-01 2.4415988174e+01 2.4480842422e+01 4.3946948821e-02 1.1113798410e-01 1.0144363657e+00 1.0000000000e+00 0.0000000000e+00 7.2288917453e+02
4.3401008262e-01 5.1741272810e-05 3.8603246212e-04 7.3831990641e+02 3.9316135849e-01 2.4415988174e+01 2.4481188506e+01 4.3684480325e-02 1.1111081845e-01 1.0145591956e+00 1.0000000000e+00 0.0000000000e+00 7.2314020079e+02
4.3118777656e-01 5.3844000335e-05 3.8518905640e-04 7.3831990641e+02 3.9062609127e-01 2.4415988174e+01 2.4482976607e+01 4.3375268928e-02 1.1104037825e-01 1.0146988774e+00 1.0000000000e+00 0.0000000000e+00 7.2342075955e+02
4.2788781145e-01 5.6129573732e-05 3.8442611694e-04 7.3831990641e+02 3.8759730164e-01 2.4415988174e+01 2.4488203917e+01 4.3076917064e-02 1.1113833064e-01 1.0148464725e+00 1.0000000000e+00 0.0000000000e+00 7.2370131831e+02
4.2444185775e-01 5.8597993001e-05 3.8294494152e-04 7.3831990641e+02 3.8448240607e-01 2.4430754424e+01 2.4491102371e+01 4.2719437887e-02 1.1110895378e-01 1.0150042743e+00 1.0000000000e+00 0.0000000000e+00 7.2399664332e+02
4.2081951203e-01 6.1249258141e-05 3.8175582886e-04 7.3831990641e+02 3.8123070689e-01 2.4430754424e+01 2.4490936539e+01 4.2320457221e-02 1.1101009561e-01 1.0151744418e+00 1.0000000000e+00 0.0000000000e+00 7.2429196834e+02
4.1635913892e-01 6.4083369153e-05 3.8099288940e-04 7.3831990641e+02 3.7715569037e-01 2.4415988174e+01 2.4480993834e+01 4.1897895638e-02 1.1108912501e-01 1.0153675907e+00 1.0000000000e+00 0.0000000000e+00 7.2463159210e+02
4.1147811435e-01 6.7100326037e-05 3.7965774536e-04 7.3831990641e+02 3.7268143288e-01 2.4415988174e+01 2.4486992623e+01 4.1451235693e-02 1.1122431126e-01 1.0155653886e+00 1.0000000000e+00 0.0000000000e+00 7.2495644961e+02
4.0649665284e-01 7.0300128793e-05 3.7763118744e-04 7.3832728954e+02 3.6820650695e-01 2.4423371299e+01 2.4488917716e+01 4.0906336899e-02 1.1109618143e-01 1.0157760758e+00 1.0000000000e+00 0.0000000000e+00 7.2528869025e+02
4.0088961836e-01 7.3682777420e-05 3.7546157837e-04 7.3831990641e+02 3.6313358479e-01 2.4430754424e+01 2.4492630909e+01 4.0328339047e-02 1.1105648372e-01 1.0159969071e+00 1.0000000000e+00 0.0000000000e+00 7.2560616464e+02
3.9394244919e-01 7.7248271919e-05 3.7379123896e-04 7.3831990641e+02 3.5676124142e-01 2.4415988174e+01 2.4479342725e+01 3.9696032738e-02 1.1126778397e-01 1.0162475387e+00 1.0000000000e+00 0.0000000000e+00 7.2596055465e+02
3.8726368076e-01 8.0996612290e-05 3.7083625793e-04 7.3832728954e+02 3.5077253327e-01 2.4423371299e+01 2.4483531783e+01 3.8954914496e-02 1.1105463171e-01 1.0164957829e+00 1.0000000000e+00 0.0000000000e+00 7.2629279529e+02
3.7899945408e-01 8.4927798533e-05 3.6797523499e-04 7.3831990641e+02 3.4326830036e-01 2.4415988174e+01 2.4488881665e+01 3.8129043790e-02 1.1107650707e-01 1.0167750487e+00 1.0000000000e+00 0.0000000000e+00 7.2662503593e+02
