# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
3.5806253906e-01 4.0679097569e-05 4.3346881866e-04 7.3832728954e+02 3.0594910270e-01 2.4423371299e+01 2.4483805767e+01 5.3983852907e-02 1.7644716860e-01 1.0142986995e+00 1.0000000000e+00 0.0000000000e+00 7.2415168895e+02
3.5797445168e-01 4.0770520505e-05 4.3339729309e-04 7.3832728954e+02 3.0588408831e-01 2.4423371299e+01 2.4483805767e+01 5.3960372767e-02 1.7640791015e-01 1.0143045523e+00 1.0000000000e+00 0.0000000000e+00 7.2416645521e+02
3.5739840351e-01 4.1044789312e-05 4.3331671501e-04 7.3832728954e+02 3.0534604984e-01 2.4423371299e+01 2.4484411414e+01 5.3917491350e-02 1.7657831624e-01 1.0143234715e+00 1.0000000000e+00 0.0000000000e+00 7.2418122146e+02
3.5684194766e-01 4.1501903992e-05 4.3301582336e-04 7.3832728954e+02 3.0489105297e-01 2.4423371299e+01 2.4482457481e+01 5.3812591822e-02 1.7649777289e-01 1.0143529344e+00 1.0000000000e+00 0.0000000000e+00 7.2421075396e+02
3.5589436422e-01 4.2141864543e-05 4.3292045593e-04 7.3831990641e+02 3.0407081234e-01 2.4415988174e+01 2.4487122405e+01 5.3677896347e-02 1.7653090717e-01 1.0143971265e+00 1.0000000000e+00 0.0000000000e+00 7.2426243583e+02
3.5448686424e-01 4.2964670966e-05 4.3233676308e-04 7.3832728954e+02 3.0279093063e-01 2.4423371299e+01 2.4485723649e+01 5.3539668677e-02 1.7682058233e-01 1.0144480321e+00 1.0000000000e+00 0.0000000000e+00 7.2431411771e+02
3.5334533243e-01 4.3970323261e-05 4.3187141418e-04 7.3831990641e+02 3.0188653066e-01 2.4415988174e+01 2.4488016455e+01 5.3295448668e-02 1.7654132680e-01 1.0145159613e+00 1.0000000000e+00 0.0000000000e+00 7.2439533209e+02
3.5176947247e-01 4.5158821427e-05 4.3091773987e-04 7.3832728954e+02 3.0054678565e-01 2.4423371299e+01 2.4489263800e+01 5.3049208378e-02 1.7650898599e-01 1.0145900201e+00 1.0000000000e+00 0.0000000000e+00 7.2447654647e+02
3.4996780739e-01 4.6530165465e-05 4.3013095856e-04 7.3832728954e+02 2.9901156126e-01 2.4423371299e+01 2.4492032472e+01 5.2770437577e-02 1.7648293382e-01 1.0146763072e+00 1.0000000000e+00 0.0000000000e+00 7.2456514397e+02
3.4795037378e-01 4.8084355375e-05 4.2920112610e-04 7.3832728954e+02 2.9730359950e-01 2.4423371299e+01 2.4491722438e+01 5.2447376462e-02 1.7641016305e-01 1.0147753404e+00 1.0000000000e+00 0.0000000000e+00 7.2466850773e+02
3.4559614787e-01 4.9821391157e-05 4.2843818665e-04 7.3831990641e+02 2.9528867627e-01 2.4415988174e+01 2.4480842422e+01 5.2091214225e-02 1.7640776098e-01 1.0148885116e+00 1.0000000000e+00 0.0000000000e+00 7.2477925461e+02
3.4333171102e-01 5.1741272810e-05 4.2748601960e-04 7.3832728954e+02 2.9341005616e-01 2.4408605048e+01 2.4481188506e+01 5.1690339301e-02 1.7617098738e-01 1.0150082987e+00 1.0000000000e+00 0.0000000000e+00 7.2490476774e+02
3.4019092625e-01 5.3844000335e-05 4.2586061255e-04 7.3832728954e+02 2.9064070782e-01 2.4423371299e+01 2.4482976607e+01 5.1296808431e-02 1.7649560798e-01 1.0151394348e+00 1.0000000000e+00 0.0000000000e+00 7.2502289774e+02
3.3723179448e-01 5.6129573732e-05 4.2471885681e-04 7.3831990641e+02 2.8812221776e-01 2.4415988174e+01 2.4488203917e+01 5.0835457169e-02 1.7643712993e-01 1.0152828053e+00 1.0000000000e+00 0.0000000000e+00 7.2516317712e+02
3.3410604053e-01 5.8597993001e-05 4.2284259475e-04 7.3832728954e+02 2.8549393613e-01 2.4423371299e+01 2.4491102371e+01 5.0317952254e-02 1.7624876008e-01 1.0154363025e+00 1.0000000000e+00 0.0000000000e+00 7.2530345650e+02
3.3030193765e-01 6.1249258141e-05 4.2125582695e-04 7.3832728954e+02 2.8218149900e-01 2.4423371299e+01 2.4490936539e+01 4.9798994375e-02 1.7647859464e-01 1.0156020772e+00 1.0000000000e+00 0.0000000000e+00 7.2545111901e+02
3.2634421434e-01 6.4083369153e-05 4.1956901550e-04 7.3831990641e+02 2.7880127029e-01 2.4415988174e+01 2.4480993834e+01 4.9193889543e-02 1.7644786730e-01 1.0157850804e+00 1.0000000000e+00 0.0000000000e+00 7.2559139839e+02
3.2210700431e-01 6.7100326037e-05 4.1747093201e-04 7.3831990641e+02 2.7517536680e-01 2.4415988174e+01 2.4486992623e+01 4.8553528137e-02 1.7644576512e-01 1.0159745273e+00 1.0000000000e+00 0.0000000000e+00 7.2575382715e+02
3.1735886990e-01 7.0300128793e-05 4.1508674622e-04 7.3831990641e+02 2.7110603436e-01 2.4415988174e+01 2.4488917716e+01 4.7842103986e-02 1.7647008153e-01 1.0161812762e+00 1.0000000000e+00 0.0000000000e+00 7.2591625590e+02
3.1263654475e-01 7.3682777420e-05 4.1209606555e-04 7.3832728954e+02 2.6713743380e-01 2.4423371299e+01 2.4492630909e+01 4.7058077914e-02 1.7615680904e-01 1.0163931657e+00 1.0000000000e+00 0.0000000000e+00 7.2607130153e+02
