# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
3.6490353541e-01 4.0679097569e-05 2.2839285293e-03 7.3832728233e+02 3.1273348771e-01 1.9565267638e+01 1.9658450304e+01 5.5210105097e-02 1.7654043224e-01 1.0112230683e+00 1.0000000000e+00 0.0000000000e+00 7.2887688194e+02
3.6480845967e-01 4.0770520505e-05 2.2835179035e-03 7.3832728233e+02 3.1266542547e-01 1.9565267638e+01 1.9658753128e+01 5.5182161150e-02 1.7648948894e-01 1.0112281166e+00 1.0000000000e+00 0.0000000000e+00 7.2887688194e+02
3.6435096007e-01 4.1044789312e-05 2.2825241089e-03 7.3832728233e+02 3.1227721237e-01 1.9565267638e+01 1.9659639968e+01 5.5108355272e-02 1.7647254775e-01 1.0112437238e+00 1.0000000000e+00 0.0000000000e+00 7.2889164819e+02
3.6350482143e-01 4.1501903992e-05 2.2809982300e-03 7.3832728233e+02 3.1153970068e-01 1.9565267638e+01 1.9659510186e+01 5.4991357261e-02 1.7651476567e-01 1.0112698124e+00 1.0000000000e+00 0.0000000000e+00 7.2889164819e+02
3.6255219750e-01 4.2141864543e-05 2.2794322757e-03 7.3831989920e+02 3.1075661611e-01 1.9557884513e+01 1.9657815817e+01 5.4812529924e-02 1.7638411246e-01 1.0113071526e+00 1.0000000000e+00 0.0000000000e+00 7.2889903132e+02
3.6138360062e-01 4.2964670966e-05 2.2763129976e-03 7.3831989920e+02 3.0979842741e-01 1.9557884513e+01 1.9657988859e+01 5.4590612927e-02 1.7621333130e-01 1.0113519976e+00 1.0000000000e+00 0.0000000000e+00 7.2891379757e+02
3.5922303245e-01 4.3970323261e-05 2.2706794310e-03 7.3832728233e+02 3.0784793075e-01 1.9580033889e+01 1.9671017479e+01 5.4358851455e-02 1.7657695903e-01 1.0114057670e+00 1.0000000000e+00 0.0000000000e+00 7.2893594694e+02
3.5789617350e-01 4.5158821427e-05 2.2671581816e-03 7.3832728233e+02 3.0686772768e-01 1.9565267638e+01 1.9661968825e+01 5.3999407513e-02 1.7596965285e-01 1.0114747011e+00 1.0000000000e+00 0.0000000000e+00 7.2895071319e+02
3.5458485345e-01 4.6530165465e-05 2.2637241213e-03 7.3832728233e+02 3.0381625325e-01 1.9565267638e+01 1.9660923363e+01 5.3706757303e-02 1.7677381222e-01 1.0115535727e+00 1.0000000000e+00 0.0000000000e+00 7.2899501194e+02
3.5238727515e-01 4.8084355375e-05 2.2566795349e-03 7.3831989920e+02 3.0201889043e-01 1.9572650764e+01 1.9662459111e+01 5.3284849255e-02 1.7642886238e-01 1.0116380219e+00 1.0000000000e+00 0.0000000000e+00 7.2900239507e+02
3.4940539084e-01 4.9821391157e-05 2.2512435913e-03 7.3832728233e+02 2.9945842133e-01 1.9565267638e+01 1.9663836236e+01 5.2834163865e-02 1.7643238627e-01 1.0117376138e+00 1.0000000000e+00 0.0000000000e+00 7.2903931070e+02
3.4619614899e-01 5.1741272810e-05 2.2436141968e-03 7.3831989920e+02 2.9669095586e-01 1.9572650764e+01 1.9663547833e+01 5.2360696632e-02 1.7648228097e-01 1.0118409044e+00 1.0000000000e+00 0.0000000000e+00 7.2906146007e+02
3.4280194555e-01 5.3844000335e-05 2.2361590032e-03 7.3832728233e+02 2.9383064306e-01 1.9565267638e+01 1.9664218371e+01 5.1793569638e-02 1.7627014357e-01 1.0119621662e+00 1.0000000000e+00 0.0000000000e+00 7.2911314195e+02
3.3910620791e-01 5.6129573732e-05 2.2266895210e-03 7.3831989920e+02 2.9067793276e-01 1.9572650764e+01 1.9669178908e+01 5.1214148066e-02 1.7618863455e-01 1.0120861890e+00 1.0000000000e+00 0.0000000000e+00 7.2913529133e+02
3.3500076110e-01 5.8597993001e-05 2.2168200844e-03 7.3831989920e+02 2.8718672561e-01 1.9572650764e+01 1.9669640354e+01 5.0559643178e-02 1.7605146293e-01 1.0122266306e+00 1.0000000000e+00 0.0000000000e+00 7.2917959008e+02
3.3019067628e-01 6.1249258141e-05 2.2068399339e-03 7.3831989920e+02 2.8299630326e-01 1.9572650764e+01 1.9671536605e+01 4.9892771420e-02 1.7630184863e-01 1.0123758664e+00 1.0000000000e+00 0.0000000000e+00 7.2922388883e+02
3.2493632475e-01 6.4083369153e-05 2.1963119507e-03 7.3832728233e+02 2.7843458550e-01 1.9565267638e+01 1.9660808001e+01 4.9148736951e-02 1.7651807466e-01 1.0125415346e+00 1.0000000000e+00 0.0000000000e+00 7.2927557071e+02
3.1970457705e-01 6.7100326037e-05 2.1835565567e-03 7.3832728233e+02 2.7395506755e-01 1.9550501388e+01 1.9661565060e+01 4.8345345064e-02 1.7647180429e-01 1.0127132458e+00 1.0000000000e+00 0.0000000000e+00 7.2931986946e+02
3.1399424589e-01 7.0300128793e-05 2.1690996748e-03 7.3832728233e+02 2.6907773412e-01 1.9550501388e+01 1.9664672606e+01 4.7456583211e-02 1.7636755923e-01 1.0129010584e+00 1.0000000000e+00 0.0000000000e+00 7.2936416821e+02
3.0782363493e-01 7.3682777420e-05 2.1528244019e-03 7.3831989920e+02 2.6377759961e-01 1.9557884513e+01 1.9669114017e+01 4.6525803176e-02 1.7638269225e-01 1.0130965604e+00 1.0000000000e+00 0.0000000000e+00 7.2938631759e+02
3.0098701067e-01 7.7248271919e-05 2.1352015311e-03 7.3831989920e+02 2.5791057052e-01 1.9557884513e+01 1.9671060740e+01 4.5489604797e-02 1.7637743465e-01 1.0133125615e+00 1.0000000000e+00 0.0000000000e+00 7.2941585009e+02
2.9362186350e-01 8.0996612290e-05 2.1174430847e-03 7.3832359077e+02 2.5156403834e-01 1.9546809825e+01 1.9659236203e+01 4.4399453617e-02 1.7649364317e-01 1.0135393917e+00 1.0000000000e+00 0.0000000000e+00 7.2944907415e+02
2.8551113277e-01 8.4927798533e-05 2.0944595337e-03 7.3831989920e+02 2.4458542217e-01 1.9557884513e+01 1.9663180119e+01 4.3188399928e-02 1.7657798059e-01 1.0137844007e+00 1.0000000000e+00 0.0000000000e+00 7.2947491509e+02
2.7731888355e-01 8.9041830648e-05 2.0700454712e-03 7.3832359077e+02 2.3760128702e-01 1.9561576076e+01 1.9667023093e+01 4.1900837336e-02 1.7634937025e-01 1.0140369448e+00 1.0000000000e+00 0.0000000000e+00 7.2947860665e+02
