# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.2895955151e-01 9.3338708634e-05 4.1482448578e-04 7.3831990641e+02 1.8376036232e-01 2.4415988174e+01 2.4481123616e+01 4.5956966732e-02 2.5009183782e-01 1.0178504497e+00 1.0000000000e+00 0.0000000000e+00 7.2455776085e+02
2.2457541017e-01 9.7818432492e-05 4.1139125824e-04 7.3831621485e+02 1.8024934093e-01 2.4412296611e+01 2.4483719246e+01 4.5058949555e-02 2.4998121670e-01 1.0180472586e+00 1.0000000000e+00 0.0000000000e+00 7.2450977053e+02
2.2131945458e-01 1.0248100222e-04 4.0872097015e-04 7.3831990641e+02 1.7761172339e-01 2.4415988174e+01 2.4484512355e+01 4.4421975411e-02 2.5010722583e-01 1.0181935018e+00 1.0000000000e+00 0.0000000000e+00 7.2445439709e+02
2.1856455299e-01 1.0732641782e-04 4.0598655185e-04 7.3831990641e+02 1.7539713720e-01 2.4430754424e+01 2.4490107379e+01 4.3867023478e-02 2.5010113721e-01 1.0183265990e+00 1.0000000000e+00 0.0000000000e+00 7.2439533209e+02
2.1255494401e-01 1.1235467930e-04 4.0123462677e-04 7.3832359798e+02 1.7058872055e-01 2.4419679736e+01 2.4481152456e+01 4.2631538635e-02 2.4990830870e-01 1.0186306499e+00 1.0000000000e+00 0.0000000000e+00 7.2429565990e+02
2.0576587478e-01 1.1756578664e-04 3.9545810726e-04 7.3831990641e+02 1.6514602319e-01 2.4415988174e+01 2.4485839010e+01 4.1246946526e-02 2.4976045884e-01 1.0189550930e+00 1.0000000000e+00 0.0000000000e+00 7.2411477333e+02
1.9808455585e-01 1.2295973986e-04 3.8840448722e-04 7.3832544376e+02 1.5898850806e-01 2.4421525518e+01 2.4491945951e+01 3.9680682350e-02 2.4958207881e-01 1.0193027641e+00 1.0000000000e+00 0.0000000000e+00 7.2382498566e+02
1.8964612357e-01 1.2853653895e-04 3.8120746613e-04 7.3831806063e+02 1.5214399851e-01 2.4414142392e+01 2.4482839615e+01 3.8037907060e-02 2.5001253702e-01 1.0196567850e+00 1.0000000000e+00 0.0000000000e+00 7.2337461502e+02
1.8027048342e-01 1.3429618391e-04 3.7200450897e-04 7.3831621485e+02 1.4459469613e-01 2.4427062862e+01 2.4488860035e+01 3.6159844971e-02 2.5007725691e-01 1.0200374859e+00 1.0000000000e+00 0.0000000000e+00 7.2267875546e+02
1.7030407051e-01 1.4023867474e-04 3.6242008209e-04 7.3832359798e+02 1.3658336951e-01 2.4419679736e+01 2.4479883481e+01 3.4149163776e-02 2.5002431774e-01 1.0204288836e+00 1.0000000000e+00 0.0000000000e+00 7.2165250104e+02
1.5926142699e-01 1.4636401144e-04 3.5097599030e-04 7.3831436907e+02 1.2770233282e-01 2.4425217080e+01 2.4490157850e+01 3.1926858935e-02 2.5000998987e-01 1.0208464544e+00 1.0000000000e+00 0.0000000000e+00 7.1993038706e+02
1.4753579799e-01 1.5267219402e-04 3.3867359161e-04 7.3832175220e+02 1.1826792615e-01 2.4417833955e+01 2.4478758708e+01 2.9570766602e-02 2.5003200416e-01 1.0212799975e+00 1.0000000000e+00 0.0000000000e+00 7.1696975381e+02
1.3522318326e-01 1.5916322246e-04 3.2474994659e-04 7.3832544376e+02 1.0837217497e-01 2.4421525518e+01 2.4489588253e+01 2.7086773787e-02 2.4994214424e-01 1.0217340934e+00 1.0000000000e+00 0.0000000000e+00 7.1119984139e+02
1.2243484039e-01 1.6583709678e-04 3.0987262726e-04 7.3831990641e+02 9.8085416035e-02 2.4415988174e+01 2.4482933347e+01 2.4515060063e-02 2.4993583199e-01 1.0222210276e+00 1.0000000000e+00 0.0000000000e+00 6.9666431344e+02
1.0927535164e-01 1.7269381697e-04 2.9323101044e-04 5.7449254496e+02 8.7498079600e-02 2.4423371299e+01 2.4489025867e+01 2.1870812187e-02 2.4995762520e-01 1.0227104363e+00 1.0000000000e+00 0.0000000000e+00 5.0339624234e+02
1.0032898319e-01 1.7973338304e-04 2.8290748596e-04 3.3372879992e+02 8.0304133328e-02 2.4412296611e+01 2.4482515162e+01 2.0069169252e-02 2.4991452396e-01 1.0233365243e+00 1.0000000000e+00 0.0000000000e+00 2.0365981277e+02
9.8249325866e-02 1.8695579497e-04 2.8290748596e-04 1.9445332949e+02 7.8625145495e-02 2.4419679736e+01 2.4491477295e+01 1.9658125647e-02 2.5002339295e-01 1.0240672465e+00 1.0000000000e+00 0.0000000000e+00 7.4447736803e+01
9.9230828054e-02 1.9436105278e-04 2.8848648071e-04 1.2474006505e+02 7.9415407815e-02 2.4423371299e+01 2.4486091363e+01 1.9857498415e-02 2.5004591629e-01 1.0249441958e+00 1.0000000000e+00 0.0000000000e+00 3.9322518164e+01
1.0150019711e-01 2.0194915645e-04 2.9649734497e-04 9.0716842757e+01 8.1254661342e-02 2.4419679736e+01 2.4479688809e+01 2.0304792075e-02 2.4989079691e-01 1.0258480889e+00 1.0000000000e+00 0.0000000000e+00 2.7461527362e+01
1.0459334579e-01 2.0972010600e-04 3.0641555786e-04 7.0465067037e+01 8.3737769108e-02 2.4422448408e+01 2.4490157850e+01 2.0938933842e-02 2.5005363846e-01 1.0268220719e+00 1.0000000000e+00 0.0000000000e+00 2.4392915907e+01
1.0828984858e-01 2.1767390143e-04 3.1793394189e-04 5.7375766443e+01 8.6706787905e-02 2.4425217080e+01 2.4484389783e+01 2.1697047383e-02 2.5023470373e-01 1.0278595101e+00 1.0000000000e+00 0.0000000000e+00 2.4277554574e+01
1.1218623421e-01 2.2581054272e-04 3.2988343225e-04 4.8852301572e+01 8.9874497097e-02 2.4408605048e+01 2.4493589850e+01 2.2460896343e-02 2.4991401419e-01 1.0288918898e+00 1.0000000000e+00 0.0000000000e+00 2.4201877540e+01
1.1687228504e-01 2.3413002988e-04 3.4437179565e-04 4.2141163241e+01 9.3657442040e-02 2.4412296611e+01 2.4491801749e+01 2.3408805688e-02 2.4994069001e-01 1.0300689214e+00 1.0000000000e+00 0.0000000000e+00 2.4161270351e+01
1.2167765251e-01 2.4263236292e-04 3.5982131958e-04 3.7386149352e+01 9.7544108166e-02 2.4399376142e+01 2.4487504539e+01 2.4376319368e-02 2.4990047914e-01 1.0312380242e+00 1.0000000000e+00 0.0000000000e+00 2.4118817380e+01
1.2692659401e-01 2.5131754183e-04 3.7679672241e-04 3.3648737779e+01 1.0178006660e-01 2.4395684579e+01 2.4483675985e+01 2.5446510245e-02 2.5001467472e-01 1.0324776328e+00 1.0000000000e+00 0.0000000000e+00 2.4085593316e+01
1.3267482064e-01 2.6018556661e-04 3.9510726929e-04 3.0621742925e+01 1.0644038905e-01 2.4411373720e+01 2.4493640320e+01 2.6602672153e-02 2.4993024163e-01 1.0338001466e+00 1.0000000000e+00 0.0000000000e+00 2.4086516207e+01
1.3846543670e-01 2.6923643726e-04 4.1437149048e-04 2.8299901429e+01 1.1112865825e-01 2.4415988174e+01 2.4490092959e+01 2.7777926773e-02 2.4996186590e-01 1.0351078304e+00 1.0000000000e+00 0.0000000000e+00 2.4091130660e+01
1.4509130763e-01 2.7847015378e-04 4.3764114380e-04 2.6232712864e+01 1.1649350354e-01 2.4401221923e+01 2.4488225548e+01 2.9127529573e-02 2.5003565596e-01 1.0365831821e+00 1.0000000000e+00 0.0000000000e+00 2.4061598159e+01
1.5195780143e-01 2.8788671618e-04 4.6167373657e-04 2.4560024008e+01 1.2207769518e-01 2.4408605048e+01 2.4486163464e+01 3.0509313796e-02 2.4991718390e-01 1.0380819571e+00 1.0000000000e+00 0.0000000000e+00 2.4054215034e+01
1.5884832797e-01 2.9748612445e-04 4.8723220825e-04 2.3203526145e+01 1.2766300450e-01 2.4399563604e+01 2.4483070338e+01 3.1919946470e-02 2.5003286266e-01 1.0395652458e+00 1.0000000000e+00 0.0000000000e+00 2.4045173589e+01
