# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 2.5132741229e+02 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0046148972e-03 0.0000000000e+00 5.3407423276e-08 1.4766250610e-10 0.0000000000e+00 1.1804450829e+04 1.4759487667e+04 1.0046091013e-03 inf 1.0000001753e+00 1.0000000000e+00 2.5132741229e+02 7.9942100001e+03 0.0000000000e+00 0.0000000000e+00 5.3407423276e-02 1.0000000000e+00
3.0181869447e-03 0.0000000000e+00 4.2725938621e-07 1.4766250610e-10 0.0000000000e+00 4.8659077973e+03 1.0509539248e+04 3.0181885731e-03 inf 1.0000013913e+00 1.0000000000e+00 2.5132741229e+02 3.2952900000e+03 0.0000000000e+00 0.0000000000e+00 4.2725938621e-01 1.0000000000e+00
5.5448216323e-03 0.0000000000e+00 1.4420004284e-06 1.4766250610e-10 0.0000000000e+00 2.6486519044e+03 5.7280648717e+03 5.5448308988e-03 inf 1.0000046957e+00 1.0000000000e+00 2.5132741229e+02 1.7937200000e+03 0.0000000000e+00 0.0000000000e+00 1.4420004284e+00 1.0000000000e+00
8.5369827850e-03 0.0000000000e+00 3.4180750897e-06 1.4766250610e-10 0.0000000000e+00 1.7203420273e+03 3.7204749712e+03 8.5370165383e-03 inf 1.0000111311e+00 1.0000000000e+00 2.5132741229e+02 1.1650500000e+03 0.0000000000e+00 0.0000000000e+00 3.4180750897e+00 1.0000000000e+00
1.1931191046e-02 0.0000000000e+00 6.6759279095e-06 1.4766250610e-10 0.0000000000e+00 1.2309663327e+03 2.6620965756e+03 1.1931283143e-02 inf 1.0000217420e+00 1.0000000000e+00 2.5132741229e+02 8.3363500000e+02 -2.5617484026e-08 -3.2524895687e+08 4.3387116111e+00 1.0000000000e+00
1.5684730921e-02 0.0000000000e+00 1.1536003428e-05 1.4766250610e-10 0.0000000000e+00 9.3641285712e+02 2.0237847858e+03 1.5684940265e-02 inf 1.0000375743e+00 1.0000000000e+00 2.5132741229e+02 6.3415750000e+02 2.3179465654e-07 7.4730559884e+08 4.3383562578e+00 1.0000000000e+00
1.9766283892e-02 0.0000000000e+00 1.8318746184e-05 1.4766250610e-10 0.0000000000e+00 7.4304880538e+02 1.5615863754e+03 1.9766702852e-02 inf 1.0000596757e+00 1.0000000000e+00 2.5132741229e+02 5.0320750000e+02 -1.9302551565e-06 -1.7022067767e+09 4.3378321265e+00 1.0000000000e+00
2.4152100382e-02 0.0000000000e+00 2.7344600717e-05 1.4766250610e-10 0.0000000000e+00 6.0819048434e+02 1.3148737060e+03 2.4152864659e-02 inf 1.0000890967e+00 1.0000000000e+00 2.5132741229e+02 4.1187875000e+02 4.1535405778e-04 1.5502617149e+11 4.3372022932e+00 1.0000000000e+00
2.8822449239e-02 0.0000000000e+00 3.8934011568e-05 1.4766250610e-10 0.0000000000e+00 5.0964052777e+02 1.0560065666e+03 2.8823748105e-02 inf 1.0001268917e+00 1.0000000000e+00 2.5132741229e+02 3.4513875000e+02 4.6463482278e-04 5.7944652926e+10 4.3363059825e+00 1.0000000000e+00
3.3762505057e-02 0.0000000000e+00 5.3407423276e-05 1.4766250610e-10 0.0000000000e+00 4.3516048259e+02 9.3917691466e+02 3.3764592638e-02 inf 1.0001741196e+00 1.0000000000e+00 2.5132741229e+02 2.9469937500e+02 -1.5226648551e-04 -1.0565963669e+10 4.3352983962e+00 1.0000000000e+00
3.8958445298e-02 0.0000000000e+00 7.1085280380e-05 1.4766250610e-10 0.0000000000e+00 3.7717341644e+02 8.1565722830e+02 3.8961652373e-02 inf 1.0002318458e+00 1.0000000000e+00 2.5132741229e+02 2.5542937500e+02 1.7674974850e-04 6.0599150584e+09 4.3340097628e+00 1.0000000000e+00
4.4399230713e-02 0.0000000000e+00 9.2288027421e-05 1.4766250610e-10 0.0000000000e+00 3.3098504598e+02 6.9491405851e+02 4.4403977350e-02 inf 1.0003011432e+00 1.0000000000e+00 2.5132741229e+02 2.2414968750e+02 6.6149845090e-04 1.0180150557e+10 4.3324320208e+00 1.0000000000e+00
5.0076136188e-02 0.0000000000e+00 1.1733610894e-04 1.4766250610e-10 0.0000000000e+00 2.9352306818e+02 6.3310253346e+02 5.0082945455e-02 inf 1.0003830938e+00 1.0000000000e+00 2.5132741229e+02 1.9877968750e+02 3.3002881556e-04 3.1878156661e+09 4.3306329900e+00 1.0000000000e+00
5.5980428610e-02 0.0000000000e+00 1.4654996947e-04 1.4766250610e-10 0.0000000000e+00 2.6263207190e+02 5.6790953702e+02 5.5989940265e-02 inf 1.0004787908e+00 1.0000000000e+00 2.5132741229e+02 1.7785968750e+02 3.9920227572e-04 2.2395535555e+09 4.3285041444e+00 1.0000000000e+00
6.2105320960e-02 0.0000000000e+00 1.8025005356e-04 1.4766250610e-10 0.0000000000e+00 2.3679136406e+02 5.1209334043e+02 6.2118306629e-02 inf 1.0005893403e+00 1.0000000000e+00 2.5132741229e+02 1.6035984375e+02 3.8487286601e-04 1.2872637494e+09 4.3260468221e+00 1.0000000000e+00
6.8444802189e-02 0.0000000000e+00 2.1875680574e-04 1.4766250610e-10 0.0000000000e+00 2.1492254691e+02 4.6481180598e+02 6.8462180993e-02 inf 1.0007158631e+00 1.0000000000e+00 2.5132741229e+02 1.4554984375e+02 3.8386116738e-04 7.9098695577e+08 4.3232397983e+00 1.0000000000e+00
7.4993666131e-02 0.0000000000e+00 2.6239067055e-04 1.4766250610e-10 0.0000000000e+00 1.9621370738e+02 4.2435227931e+02 7.5016521201e-02 inf 1.0008594978e+00 1.0000000000e+00 2.5132741229e+02 1.3287984375e+02 3.7896947377e-04 4.9528053006e+08 4.3200601447e+00 1.0000000000e+00
8.1747422753e-02 0.0000000000e+00 3.1147209254e-04 1.4766250610e-10 0.0000000000e+00 1.8007419547e+02 3.8944486287e+02 8.1777018571e-02 inf 1.0010214023e+00 1.0000000000e+00 2.5132741229e+02 1.2194984375e+02 3.7329124119e-04 3.1761215621e+08 4.3164850127e+00 1.0000000000e+00
8.8702217443e-02 0.0000000000e+00 3.6632151625e-04 1.4766250610e-10 0.0000000000e+00 1.6601684025e+02 3.5905603447e+02 8.8740018099e-02 inf 1.0012027570e+00 1.0000000000e+00 2.5132741229e+02 1.1242992188e+02 3.7566190167e-04 2.1292774719e+08 4.3124915773e+00 1.0000000000e+00
9.5854764862e-02 0.0000000000e+00 4.2725938621e-04 1.4766250610e-10 0.0000000000e+00 1.5370178724e+02 3.3241771837e+02 9.5902453265e-02 inf 1.0014047673e+00 1.0000000000e+00 2.5132741229e+02 1.0408992188e+02 3.7515745177e-04 1.4463176126e+08 4.3080571746e+00 1.0000000000e+00
1.0320229405e-01 0.0000000000e+00 4.9460614696e-04 1.4766250610e-10 0.0000000000e+00 1.4281906054e+02 3.0889508115e+02 1.0326179213e-01 inf 1.0016286668e+00 1.0000000000e+00 2.5132741229e+02 9.6719921875e+01 3.7487141562e-04 1.0011983508e+08 4.3031592202e+00 1.0000000000e+00
1.1074250255e-01 0.0000000000e+00 5.6868224304e-04 1.4766250610e-10 0.0000000000e+00 1.3317669889e+02 2.8803036904e+02 1.1081599249e-01 inf 1.0018757205e+00 1.0000000000e+00 2.5132741229e+02 9.0189921875e+01 3.7460344059e-04 7.0525769397e+07 4.2977753887e+00 1.0000000000e+00
1.1847351692e-01 0.0000000000e+00 6.4980811900e-04 1.4766250610e-10 0.0000000000e+00 1.2455320853e+02 2.6939536077e+02 1.1856346362e-01 inf 1.0021472279e+00 1.0000000000e+00 2.5132741229e+02 8.4349921875e+01 3.7478280464e-04 5.0502951579e+07 4.2918833900e+00 1.0000000000e+00
1.2639385896e-01 0.0000000000e+00 7.3830421936e-04 1.4766250610e-10 0.0000000000e+00 1.1683051715e+02 2.5266525651e+02 1.2650303363e-01 inf 1.0024445267e+00 1.0000000000e+00 2.5132741229e+02 7.9119960938e+01 3.7493493970e-04 3.6672031057e+07 4.2854611878e+00 1.0000000000e+00
1.3450241585e-01 0.0000000000e+00 8.3449098868e-04 1.4766250610e-10 0.0000000000e+00 1.0986084686e+02 2.3760368088e+02 1.3463392087e-01 inf 1.0027689970e+00 1.0000000000e+00 2.5132741229e+02 7.4399960938e+01 3.7492587337e-04 2.6969233105e+07 4.2784869746e+00 1.0000000000e+00
1.4279841305e-01 0.0000000000e+00 9.3868887150e-04 1.4766250610e-10 0.0000000000e+00 1.0355565785e+02 2.2395966532e+02 1.4295570828e-01 inf 1.0031220647e+00 1.0000000000e+00 2.5132741229e+02 7.0129960938e+01 3.7509152528e-04 2.0074731458e+07 4.2709391059e+00 1.0000000000e+00
1.5128139015e-01 0.0000000000e+00 1.0512183123e-03 1.4766250610e-10 0.0000000000e+00 9.7826352611e+01 2.1157078106e+02 1.5146832067e-01 inf 1.0035052063e+00 1.0000000000e+00 2.5132741229e+02 6.6249960938e+01 3.7525046701e-04 1.5107533170e+07 4.2627962700e+00 1.0000000000e+00
