# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 2.5132741229e+00 1.4766250610e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
2.7281178199e-06 0.0000000000e+00 4.1539106992e-08 1.4766250610e-10 0.0000000000e+00 6.5267123022e+03 7.3824091420e+03 2.7462512513e-05 inf 1.0000197393e-01 1.0000000000e-01 2.5132741229e+00 6.5267123022e+03 8.4614771590e-28 1.7586731815e-09 2.3714890007e-02 1.0000000000e+00
1.7562920431e-04 0.0000000000e+00 3.3231285594e-07 1.4766250610e-10 0.0000000000e+00 6.5264981916e+03 7.3824017588e+03 1.7562658478e-03 inf 1.0000197618e-01 1.0000000000e-01 2.5132741229e+00 6.5264981916e+03 -2.2435377517e-15 -4.6630743088e+03 1.8955952056e-01 1.0000000000e+00
1.9846400901e-03 0.0000000000e+00 1.1215558888e-06 1.4766250610e-10 0.0000000000e+00 6.5242094228e+03 7.3824017588e+03 1.9846025452e-02 inf 1.0000199988e-01 1.0000000000e-01 2.5132741229e+00 6.5242094228e+03 -8.5500006596e-14 -1.7770723219e+05 6.3415573034e-01 1.0000000000e+00
1.0723008049e-02 0.0000000000e+00 2.6585028475e-06 1.4766250610e-10 0.0000000000e+00 6.5128024942e+03 7.3823722263e+03 1.0722817172e-01 inf 1.0000211716e-01 1.0000000000e-01 2.5132741229e+00 6.5128024942e+03 -7.4713985794e-10 -1.5528905961e+09 1.4407242361e+00 1.0000000000e+00
3.6259175971e-02 0.0000000000e+00 5.1923883740e-06 1.4766250610e-10 0.0000000000e+00 6.4756727570e+03 7.3822688626e+03 3.6258699063e-01 inf 1.0000248943e-01 1.0000000000e-01 2.5132741229e+00 6.4756727570e+03 1.6048248363e-07 3.3323993259e+11 2.4861105923e+00 1.0000000000e+00
8.3947753215e-02 0.0000000000e+00 8.9724471103e-06 1.4766250610e-10 0.0000000000e+00 6.3859604014e+03 7.3819883038e+03 8.3947405983e-01 inf 1.0000333480e-01 1.0000000000e-01 2.5132741229e+00 6.3859604014e+03 1.5597902693e-04 3.2304838820e+14 3.3979172278e+00 1.0000000000e+00
1.4351102541e-01 0.0000000000e+00 1.4247913698e-05 1.4766250610e-10 0.0000000000e+00 6.2099171616e+03 7.3813238226e+03 1.4351216664e+00 inf 1.0000481339e-01 1.0000000000e-01 2.5132741229e+00 6.2099171616e+03 -1.7273439836e-04 -3.5876254611e+14 3.9463249007e+00 1.0000000000e+00
2.0033871276e-01 0.0000000000e+00 2.1268022780e-05 1.4766250610e-10 0.0000000000e+00 5.9067069716e+03 7.3797659831e+03 2.0034287877e+00 inf 1.0000698708e-01 1.0000000000e-01 2.5132741229e+00 5.9067069716e+03 -3.0257945141e-04 -6.2889220703e+14 4.2001546876e+00 1.0000000000e+00
2.5033087990e-01 0.0000000000e+00 3.0282008997e-05 1.4766250610e-10 0.0000000000e+00 5.4428399749e+03 7.3759119917e+03 2.5033932932e+00 inf 1.0000988320e-01 1.0000000000e-01 2.5132741229e+00 5.4428399749e+03 6.8986176119e-04 1.4302083004e+15 4.2971470084e+00 1.0000000000e+00
2.9684007103e-01 0.0000000000e+00 4.1539106992e-05 1.4766250610e-10 0.0000000000e+00 4.8552391813e+03 7.3656051488e+03 2.9685424496e+00 inf 1.0001354240e-01 1.0000000000e-01 2.5132741229e+00 4.8552391813e+03 -1.9116349707e-03 -3.9355526564e+15 4.3268668945e+00 1.0000000000e+00
3.4336859644e-01 0.0000000000e+00 5.5288551407e-05 1.4766250610e-10 0.0000000000e+00 4.2639172925e+03 7.3358142382e+03 3.4339055312e+00 inf 1.0001802660e-01 1.0000000000e-01 2.5132741229e+00 4.2639172925e+03 5.2399589205e-04 1.0571292881e+15 4.3334093712e+00 1.0000000000e+00
3.9146259068e-01 0.0000000000e+00 7.1779576883e-05 1.4766250610e-10 0.0000000000e+00 3.7518384875e+03 7.2441527375e+03 3.9149512693e+00 inf 1.0002341148e-01 1.0000000000e-01 2.5132741229e+00 3.7518384875e+03 3.8963790054e-04 7.3817238882e+14 4.3336863141e+00 1.0000000000e+00
4.4151104693e-01 0.0000000000e+00 9.1261418062e-05 1.4766250610e-10 0.0000000000e+00 3.3284753163e+03 6.9700689768e+03 4.4155772196e+00 inf 1.0002977864e-01 1.0000000000e-01 2.5132741229e+00 3.3284753163e+03 6.8637017461e-04 1.0722657489e+15 4.3325033963e+00 1.0000000000e+00
4.9353824409e-01 0.0000000000e+00 1.1398330959e-04 1.4766250610e-10 0.0000000000e+00 2.9782530759e+03 6.4162939717e+03 4.9360343343e+00 inf 1.0003721190e-01 1.0000000000e-01 2.5132741229e+00 2.9782530759e+03 3.8072010044e-04 3.9317606097e+14 4.3308766623e+00 1.0000000000e+00
5.4749596951e-01 0.0000000000e+00 1.4019448610e-04 1.4766250610e-10 0.0000000000e+00 2.6852758975e+03 5.8056356777e+03 5.4758495190e+00 inf 1.0004579612e-01 1.0000000000e-01 2.5132741229e+00 2.6852758975e+03 4.0486415097e-04 2.5358202575e+14 4.3289675569e+00 1.0000000000e+00
6.0333063174e-01 0.0000000000e+00 1.7014418224e-04 1.4766250610e-10 0.0000000000e+00 2.4373210173e+03 5.2709128275e+03 6.0344969136e+00 inf 1.0005561714e-01 1.0000000000e-01 2.5132741229e+00 2.4373210173e+03 3.7426542688e-04 1.4460036855e+14 4.3267836517e+00 1.0000000000e+00
6.6099386922e-01 0.0000000000e+00 2.0408163265e-04 1.4766250610e-10 0.0000000000e+00 2.2252628923e+03 4.8123912136e+03 6.6115040773e+00 inf 1.0006676186e-01 1.0000000000e-01 2.5132741229e+00 2.2252628923e+03 3.6835307497e-04 9.0287936535e+13 4.3243094460e+00 1.0000000000e+00
7.2044321127e-01 0.0000000000e+00 2.4225607198e-04 1.4766250610e-10 0.0000000000e+00 2.0422222955e+03 4.4152842817e+03 7.2064586260e+00 inf 1.0007931834e-01 1.0000000000e-01 2.5132741229e+00 2.0422222955e+03 3.7193287247e-04 5.9267704327e+13 4.3215269841e+00 1.0000000000e+00
7.8164163991e-01 0.0000000000e+00 2.8491673486e-04 1.4766250610e-10 0.0000000000e+00 1.8829313670e+03 4.0719394225e+03 7.8190039312e+00 inf 1.0009337600e-01 1.0000000000e-01 2.5132741229e+00 1.8829313670e+03 3.7453431946e-04 3.9816086175e+13 4.3184190924e+00 1.0000000000e+00
8.4455678469e-01 0.0000000000e+00 3.3231285594e-04 1.4766250610e-10 0.0000000000e+00 1.7432795519e+03 3.7700360456e+03 8.4488311089e+00 inf 1.0010902577e-01 1.0000000000e-01 2.5132741229e+00 1.7432795519e+03 3.7281773745e-04 2.6964024482e+13 4.3149673959e+00 1.0000000000e+00
9.0915836518e-01 0.0000000000e+00 3.8469366986e-04 1.4766250610e-10 0.0000000000e+00 1.6199961255e+03 3.4446838628e+03 9.0956534881e+00 inf 1.0012636030e-01 1.0000000000e-01 2.5132741229e+00 1.6199961255e+03 4.0706396758e-04 1.8748668797e+13 4.3111392459e+00 1.0000000000e+00
9.7542870591e-01 0.0000000000e+00 4.4230841125e-04 1.4766250610e-10 0.0000000000e+00 1.5106086639e+03 3.2538900616e+03 9.7593119614e+00 inf 1.0014547403e-01 1.0000000000e-01 2.5132741229e+00 1.5106086639e+03 3.8218183969e-04 1.3238687417e+13 4.3069592864e+00 1.0000000000e+00
1.0433417605e+00 0.0000000000e+00 5.0540631478e-04 1.4766250610e-10 0.0000000000e+00 1.4129446824e+03 3.0532979301e+03 1.0439565023e+01 inf 1.0016646358e-01 1.0000000000e-01 2.5132741229e+00 1.4129446824e+03 3.7602508872e-04 9.4759647413e+12 4.3023734435e+00 1.0000000000e+00
1.1128813902e+00 0.0000000000e+00 5.7423661506e-04 1.4766250610e-10 0.0000000000e+00 1.3253217512e+03 2.8657665474e+03 1.1136271866e+01 inf 1.0018942781e-01 1.0000000000e-01 2.5132741229e+00 1.3253217512e+03 3.7507619355e-04 6.8846908877e+12 4.2973717146e+00 1.0000000000e+00
1.1840336351e+00 0.0000000000e+00 6.4904854675e-04 1.4766250610e-10 0.0000000000e+00 1.2463592261e+03 2.6953344829e+03 1.1849315084e+01 inf 1.0021446812e-01 1.0000000000e-01 2.5132741229e+00 1.2463592261e+03 3.7506114014e-04 5.0667155111e+12 4.2919384898e+00 1.0000000000e+00
1.2567691947e+00 0.0000000000e+00 7.3009134450e-04 1.4766250610e-10 0.0000000000e+00 1.1747724431e+03 2.3991308787e+03 1.2578425073e+01 inf 1.0024168883e-01 1.0000000000e-01 2.5132741229e+00 1.1747724431e+03 4.9882124478e-04 3.7650972228e+12 4.2859818132e+00 1.0000000000e+00
1.3311271353e+00 0.0000000000e+00 8.1761424293e-04 1.4766250610e-10 0.0000000000e+00 1.1099412198e+03 2.3369280480e+03 1.3324019415e+01 inf 1.0027119660e-01 1.0000000000e-01 2.5132741229e+00 1.1099412198e+03 4.2864058253e-04 2.8371457610e+12 4.2796844138e+00 1.0000000000e+00
1.4070633904e+00 0.0000000000e+00 9.1186647669e-04 1.4766250610e-10 0.0000000000e+00 1.0507806982e+03 2.2498740790e+03 1.4085684008e+01 inf 1.0030310224e-01 1.0000000000e-01 2.5132741229e+00 1.0507806982e+03 3.9428175632e-04 2.1585350905e+12 4.2728732363e+00 1.0000000000e+00
1.4845789335e+00 0.0000000000e+00 1.0130972804e-03 1.4766250610e-10 0.0000000000e+00 9.9664024035e+02 2.1486661973e+03 1.4863458195e+01 inf 1.0033751967e-01 1.0000000000e-01 2.5132741229e+00 9.9664024035e+02 3.8110145638e-04 1.6574747282e+12 4.2655514246e+00 1.0000000000e+00
1.5636736671e+00 0.0000000000e+00 1.1215558888e-03 1.4766250610e-10 0.0000000000e+00 9.4695180705e+02 2.0461145868e+03 1.5657372609e+01 inf 1.0037456670e-01 1.0000000000e-01 2.5132741229e+00 9.4695180705e+02 3.7699501520e-04 1.2839470501e+12 4.2577104357e+00 1.0000000000e+00
1.6443482518e+00 0.0000000000e+00 1.2374915364e-03 1.4766250610e-10 0.0000000000e+00 9.0122811203e+02 1.9485687353e+03 1.6467467606e+01 inf 1.0041436531e-01 1.0000000000e-01 2.5132741229e+00 9.0122811203e+02 3.7589679667e-04 1.0027882415e+12 4.2493368656e+00 1.0000000000e+00
1.7266047547e+00 0.0000000000e+00 1.3611534579e-03 1.4766250610e-10 0.0000000000e+00 8.5902616779e+02 1.8576603134e+03 1.7293799879e+01 inf 1.0045704194e-01 1.0000000000e-01 2.5132741229e+00 8.5902616779e+02 3.7566312933e-04 7.8920941932e+11 4.2404156244e+00 1.0000000000e+00
1.8103864920e+00 0.0000000000e+00 1.4927908880e-03 1.4766250610e-10 0.0000000000e+00 8.1978485679e+02 1.6206767574e+03 1.8135837658e+01 inf 1.0050272884e-01 1.0000000000e-01 2.5132741229e+00 8.1978485679e+02 5.8725884676e-04 6.2355452253e+11 4.2307745026e+00 1.0000000000e+00
1.8958795465e+00 0.0000000000e+00 1.6326530612e-03 1.4766250610e-10 0.0000000000e+00 7.8378473781e+02 1.6950543617e+03 1.8995492765e+01 inf 1.0055155963e-01 1.0000000000e-01 2.5132741229e+00 7.8378473781e+02 3.7575395107e-04 4.9932616651e+11 4.2208684481e+00 1.0000000000e+00
1.9828978702e+00 0.0000000000e+00 1.7809892123e-03 1.4766250610e-10 0.0000000000e+00 7.5009576776e+02 1.5697998716e+03 1.9870937507e+01 inf 1.0060367942e-01 1.0000000000e-01 2.5132741229e+00 7.5009576776e+02 4.4268002862e-04 4.0075050095e+11 4.2101804123e+00 1.0000000000e+00
2.0715397784e+00 0.0000000000e+00 1.9380485758e-03 1.4766250610e-10 0.0000000000e+00 7.1876916709e+02 1.5293329618e+03 2.0763206699e+01 inf 1.0065923478e-01 1.0000000000e-01 2.5132741229e+00 7.1876916709e+02 4.0777549628e-04 3.2396209903e+11 4.1989343086e+00 1.0000000000e+00
2.1617918946e+00 0.0000000000e+00 2.1040803865e-03 1.4766250610e-10 0.0000000000e+00 6.8952460776e+02 1.4806338673e+03 2.1672214492e+01 inf 1.0071838049e-01 1.0000000000e-01 2.5132741229e+00 6.8952460776e+02 3.8963858454e-04 2.6330757872e+11 4.1870551558e+00 1.0000000000e+00
2.2536671434e+00 0.0000000000e+00 2.2793338789e-03 1.4766250610e-10 0.0000000000e+00 6.6216274538e+02 1.4320972016e+03 2.2598142685e+01 inf 1.0078127776e-01 1.0000000000e-01 2.5132741229e+00 6.6216274538e+02 3.7609069805e-04 2.1513856345e+11 4.1745367565e+00 1.0000000000e+00
2.3471749878e+00 0.0000000000e+00 2.4640582877e-03 1.4766250610e-10 0.0000000000e+00 6.3653591745e+02 1.3752028380e+03 2.3541141377e+01 inf 1.0084809518e-01 1.0000000000e-01 2.5132741229e+00 6.3653591745e+02 3.7817504868e-04 1.7664042284e+11 4.1613624487e+00 1.0000000000e+00
2.4423296265e+00 0.0000000000e+00 2.6585028475e-03 1.4766250610e-10 0.0000000000e+00 6.1248169520e+02 1.3241632927e+03 2.4501411733e+01 inf 1.0091900905e-01 1.0000000000e-01 2.5132741229e+00 6.1248169520e+02 3.7693947335e-04 1.4572799604e+11 4.1475264437e+00 1.0000000000e+00
2.5391423780e+00 0.0000000000e+00 2.8629167930e-03 1.4766250610e-10 0.0000000000e+00 5.8986718239e+02 1.2756266270e+03 2.5479129370e+01 inf 1.0099420405e-01 1.0000000000e-01 2.5132741229e+00 5.8986718239e+02 3.7650056362e-04 1.2076675374e+11 4.1330148468e+00 1.0000000000e+00
2.6376254961e+00 0.0000000000e+00 3.0775493588e-03 1.4766250610e-10 0.0000000000e+00 5.6858163214e+02 1.2297257370e+03 2.6474482989e+01 inf 1.0107387371e-01 1.0000000000e-01 2.5132741229e+00 5.6858163214e+02 3.7635526424e-04 1.0050864663e+11 4.1178160405e+00 1.0000000000e+00
2.7376969354e+00 0.0000000000e+00 3.3026497796e-03 1.4766250610e-10 0.0000000000e+00 5.4835925193e+02 1.0814282821e+03 2.7486710262e+01 inf 1.0115822314e-01 1.0000000000e-01 2.5132741229e+00 5.4835925193e+02 5.9595225144e-04 8.3707639880e+10 4.1017695671e+00 1.0000000000e+00
2.8396010399e+00 0.0000000000e+00 3.5384672900e-03 1.4766250610e-10 0.0000000000e+00 5.2948071589e+02 1.0715497758e+03 2.8518357366e+01 inf 1.0124745995e-01 1.0000000000e-01 2.5132741229e+00 5.2948071589e+02 5.2409956056e-04 7.0313771812e+10 4.0852315865e+00 1.0000000000e+00
2.9431918252e+00 0.0000000000e+00 3.7852511247e-03 1.4766250610e-10 0.0000000000e+00 5.1159140327e+02 1.0581567865e+03 2.9568023504e+01 inf 1.0134181141e-01 1.0000000000e-01 2.5132741229e+00 5.1159140327e+02 4.7027310806e-04 5.9246840608e+10 4.0679454778e+00 1.0000000000e+00
3.0484888118e+00 0.0000000000e+00 4.0432505182e-03 1.4766250610e-10 0.0000000000e+00 4.9464713070e+02 1.0406366301e+03 3.0635987011e+01 inf 1.0144151223e-01 1.0000000000e-01 2.5132741229e+00 4.9464713070e+02 4.3209421636e-04 5.0077087814e+10 4.0499149149e+00 1.0000000000e+00
3.1555068975e+00 0.0000000000e+00 4.3127147053e-03 1.4766250610e-10 0.0000000000e+00 4.7856668378e+02 1.0189597742e+03 3.1722484072e+01 inf 1.0154680924e-01 1.0000000000e-01 2.5132741229e+00 4.7856668378e+02 4.0699598478e-04 4.2456144178e+10 4.0311392923e+00 1.0000000000e+00
3.2642575214e+00 0.0000000000e+00 4.5938929205e-03 1.4766250610e-10 0.0000000000e+00 4.6330576378e+02 9.9393836257e+02 3.2827720561e+01 inf 1.0165796203e-01 1.0000000000e-01 2.5132741229e+00 4.6330576378e+02 3.9189659952e-04 3.6102242643e+10 4.0116159015e+00 1.0000000000e+00
3.3747492219e+00 0.0000000000e+00 4.8870343985e-03 1.4766250610e-10 0.0000000000e+00 4.4879792255e+02 9.6694565646e+02 3.3951877785e+01 inf 1.0177524371e-01 1.0000000000e-01 2.5132741229e+00 4.4879792255e+02 3.8353033239e-04 3.0787589701e+10 3.9913412483e+00 1.0000000000e+00
3.4869877971e+00 0.0000000000e+00 5.1923883740e-03 1.4766250610e-10 0.0000000000e+00 4.3499886136e+02 9.3932538469e+02 3.5095114199e+01 inf 1.0189894170e-01 1.0000000000e-01 2.5132741229e+00 4.3499886136e+02 3.7911313447e-04 2.6327826205e+10 3.9703118507e+00 1.0000000000e+00
