# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 0.0000000000e+00 -nan -nan 0.0000000000e+00 1.0000000000e+00
6.6258149496e-05 0.0000000000e+00 7.2142710649e-08 1.4766250610e-10 0.0000000000e+00 1.3053099747e+04 1.4764803518e+04 6.6228766460e-04 inf 1.0000049391e-01 1.0000000000e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2142710649e-02 1.0000000000e+00
4.0895361675e-03 0.0000000000e+00 5.7714168519e-07 1.4766250610e-10 0.0000000000e+00 1.3032367931e+04 1.4764759219e+04 4.0895161838e-02 inf 1.0000052063e-01 1.0000000000e-01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.7714168519e-01 1.0000000000e+00
3.4450990351e-02 0.0000000000e+00 1.9478531875e-06 1.4766250610e-10 0.0000000000e+00 1.2835519044e+04 1.4764183335e+04 3.4450929835e-01 inf 1.0000076070e-01 1.0000000000e-01 0.0000000000e+00 -1.3709595527e-06 -1.2363635778e+13 1.1225304553e+00 1.0000000000e+00
9.0115820326e-02 0.0000000000e+00 4.6171334815e-06 1.4766250610e-10 0.0000000000e+00 1.2071454173e+04 1.4761008591e+04 9.0116182314e-01 inf 1.0000152578e-01 1.0000000000e-01 0.0000000000e+00 -1.4611934133e-05 -8.3946802669e+13 1.7664425250e+00 1.0000000000e+00
1.3775049000e-01 0.0000000000e+00 9.0178388311e-06 1.4766250610e-10 0.0000000000e+00 1.0267800959e+04 1.4743274324e+04 1.3775190472e+00 inf 1.0000293838e-01 1.0000000000e-01 0.0000000000e+00 -7.7741317867e-05 -3.8931599526e+14 2.5983164575e+00 1.0000000000e+00
1.8220919785e-01 0.0000000000e+00 1.5582825500e-05 1.4766250610e-10 0.0000000000e+00 8.0462333213e+03 1.4614202528e+04 1.8221248034e+00 inf 1.0000507470e-01 1.0000000000e-01 0.0000000000e+00 1.5218718821e-05 4.2620505283e+14 4.3348292786e+00 1.0000000000e+00
2.2963002376e-01 0.0000000000e+00 2.4744949753e-05 1.4766250610e-10 0.0000000000e+00 6.3931958642e+03 1.3598624109e+04 2.2963659456e+00 inf 1.0000805874e-01 1.0000000000e-01 0.0000000000e+00 2.8147903444e-06 1.2430259631e+14 4.3386247462e+00 1.0000000000e+00
2.8051885237e-01 0.0000000000e+00 3.6937067852e-05 1.4766250610e-10 0.0000000000e+00 5.2325685662e+03 1.1236496532e+04 2.8053083473e+00 inf 1.0001203018e-01 1.0000000000e-01 0.0000000000e+00 -1.3312322560e-05 -2.2644780121e+14 4.3383585101e+00 1.0000000000e+00
3.3467275377e-01 0.0000000000e+00 5.2592036063e-05 1.4766250610e-10 0.0000000000e+00 4.3849340993e+03 9.4831150188e+03 3.3469310495e+00 inf 1.0001713038e-01 1.0000000000e-01 0.0000000000e+00 7.8569552341e-05 5.7222841902e+14 4.3380106874e+00 1.0000000000e+00
3.9189173215e-01 0.0000000000e+00 7.2142710649e-05 1.4766250610e-10 0.0000000000e+00 3.7435029390e+03 7.8840629739e+03 3.9192441531e+00 inf 1.0002350099e-01 1.0000000000e-01 0.0000000000e+00 -4.6633499405e-04 -1.3489907983e+15 4.3375423308e+00 1.0000000000e+00
4.5201091009e-01 0.0000000000e+00 9.6021947874e-05 1.4766250610e-10 0.0000000000e+00 3.2446399284e+03 7.0089115990e+03 4.5206107447e+00 inf 1.0003128390e-01 1.0000000000e-01 0.0000000000e+00 1.1443402648e-03 1.8380995261e+15 4.3370287845e+00 1.0000000000e+00
5.1487542502e-01 0.0000000000e+00 1.2466260400e-04 1.4766250610e-10 0.0000000000e+00 2.8473133486e+03 6.1587779442e+03 5.1494959086e+00 inf 1.0004062139e-01 1.0000000000e-01 0.0000000000e+00 4.2329662055e-04 3.5618663939e+14 4.3363830932e+00 1.0000000000e+00
5.8034952924e-01 0.0000000000e+00 1.5849753530e-04 1.4766250610e-10 0.0000000000e+00 2.5247446040e+03 5.2904042783e+03 5.8045578210e+00 inf 1.0005165613e-01 1.0000000000e-01 0.0000000000e+00 4.5437080320e-04 1.7881964612e+14 4.3355856633e+00 1.0000000000e+00
6.4832139922e-01 0.0000000000e+00 1.9795959802e-04 1.4766250610e-10 0.0000000000e+00 2.2588782618e+03 4.8684734333e+03 6.4846959887e+00 inf 1.0006453120e-01 1.0000000000e-01 0.0000000000e+00 3.7886964568e-04 9.8404418404e+13 4.3347258476e+00 1.0000000000e+00
7.1866973983e-01 0.0000000000e+00 2.4348164844e-04 1.4766250610e-10 0.0000000000e+00 2.0364560746e+03 4.4047411787e+03 7.1887171569e+00 inf 1.0007939037e-01 1.0000000000e-01 0.0000000000e+00 3.7181727713e-04 5.8545258798e+13 4.3337017831e+00 1.0000000000e+00
7.9129255337e-01 0.0000000000e+00 2.9549654282e-04 1.4766250610e-10 0.0000000000e+00 1.8481863793e+03 3.9988907807e+03 7.9156232172e+00 inf 1.0009637800e-01 1.0000000000e-01 0.0000000000e+00 3.6934972215e-04 3.5867073933e+13 4.3325291535e+00 1.0000000000e+00
8.6609156636e-01 0.0000000000e+00 3.5443713742e-04 1.4766250610e-10 0.0000000000e+00 1.6871456502e+03 3.6508945526e+03 8.6644554372e+00 inf 1.0011563922e-01 1.0000000000e-01 0.0000000000e+00 3.7141717651e-04 2.2878058472e+13 4.3312008254e+00 1.0000000000e+00
9.4297213982e-01 0.0000000000e+00 4.2073628850e-04 1.4766250610e-10 0.0000000000e+00 1.5481223236e+03 3.3269830021e+03 9.4342935691e+00 inf 1.0013732004e-01 1.0000000000e-01 0.0000000000e+00 3.8209086160e-04 1.4790402762e+13 4.3297016656e+00 1.0000000000e+00
