# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 2.5132741229e+03 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0046248069e-03 0.0000000000e+00 5.3407423276e-08 1.4766250610e-10 0.0000000000e+00 1.1804450829e+04 1.4759487667e+04 1.0046188651e-03 inf 1.0000001753e+00 1.0000000000e+00 2.5132741229e+03 7.9942100001e+03 0.0000000000e+00 0.0000000000e+00 5.3407423276e-02 1.0000000000e+00
3.0184258151e-03 0.0000000000e+00 4.2725938621e-07 1.4766250610e-10 0.0000000000e+00 4.8659225636e+03 1.0509598313e+04 3.0184274635e-03 inf 1.0000013914e+00 1.0000000000e+00 2.5132741229e+03 3.2953000000e+03 0.0000000000e+00 0.0000000000e+00 4.2725938621e-01 1.0000000000e+00
5.5463035413e-03 0.0000000000e+00 1.4420004284e-06 1.4766250610e-10 0.0000000000e+00 2.6486962032e+03 5.7280501054e+03 5.5463127344e-03 inf 1.0000046968e+00 1.0000000000e+00 2.5132741229e+03 1.7937500000e+03 0.0000000000e+00 0.0000000000e+00 1.4420004284e+00 1.0000000000e+00
8.5423917007e-03 0.0000000000e+00 3.4180750897e-06 1.4766250610e-10 0.0000000000e+00 1.7204010923e+03 3.7204159062e+03 8.5424256131e-03 inf 1.0000111369e+00 1.0000000000e+00 2.5132741229e+03 1.1650900000e+03 0.0000000000e+00 0.0000000000e+00 3.4180750897e+00 1.0000000000e+00
1.1945960848e-02 0.0000000000e+00 6.6759279095e-06 1.4766250610e-10 0.0000000000e+00 1.2310549302e+03 2.6620227443e+03 1.1946053223e-02 inf 1.0000217644e+00 1.0000000000e+00 2.5132741229e+03 8.3369500000e+02 -1.2974301354e-08 -1.6470592295e+08 4.3356808477e+00 1.0000000000e+00
1.5718299512e-02 0.0000000000e+00 1.1536003428e-05 1.4766250610e-10 0.0000000000e+00 9.3653098713e+02 2.0236961883e+03 1.5718509830e-02 inf 1.0000376411e+00 1.0000000000e+00 2.5132741229e+03 6.3423750000e+02 1.1820158833e-07 3.8099832281e+08 4.3331173886e+00 1.0000000000e+00
1.9833509158e-02 0.0000000000e+00 1.8318746184e-05 1.4766250610e-10 0.0000000000e+00 7.4321123414e+02 1.5615716092e+03 1.9833931256e-02 inf 1.0000598444e+00 1.0000000000e+00 2.5132741229e+03 5.0331750000e+02 inf inf 4.3295097841e+00 1.0000000000e+00
2.4274828548e-02 0.0000000000e+00 2.7344600717e-05 1.4766250610e-10 0.0000000000e+00 6.0838244560e+02 1.3147260435e+03 2.4275601340e-02 inf 1.0000894730e+00 1.0000000000e+00 2.5132741229e+03 4.1200875000e+02 7.4117389163e-06 2.7647941645e+09 4.3247719461e+00 1.0000000000e+00
2.9031239055e-02 0.0000000000e+00 3.8934011568e-05 1.4766250610e-10 0.0000000000e+00 5.0986202153e+02 1.0560065666e+03 2.9032558559e-02 inf 1.0001276553e+00 1.0000000000e+00 2.5132741229e+03 3.4528875000e+02 -2.4057959312e-05 -3.0002703932e+09 4.3185956677e+00 1.0000000000e+00
3.4098502527e-02 0.0000000000e+00 5.3407423276e-05 1.4766250610e-10 0.0000000000e+00 4.3541150885e+02 9.3898495340e+02 3.4100635745e-02 inf 1.0001755584e+00 1.0000000000e+00 2.5132741229e+03 2.9486937500e+02 8.8100693520e-05 6.1071732332e+09 4.3109812624e+00 1.0000000000e+00
3.9475434739e-02 0.0000000000e+00 7.1085280380e-05 1.4766250610e-10 0.0000000000e+00 3.7746874145e+02 8.1540620204e+02 3.9478735427e-02 inf 1.0002343991e+00 1.0000000000e+00 2.5132741229e+03 2.5562937500e+02 -5.3933115561e-03 -1.8462684600e+11 4.3016085896e+00 1.0000000000e+00
4.5165859103e-02 0.0000000000e+00 9.2288027421e-05 1.4766250610e-10 0.0000000000e+00 3.3132466974e+02 6.9488452601e+02 4.5170786339e-02 inf 1.0003054557e+00 1.0000000000e+00 2.5132741229e+03 2.2437968750e+02 2.6964872339e-04 4.1488855357e+09 4.2903141954e+00 1.0000000000e+00
5.1178325314e-02 0.0000000000e+00 1.1733610894e-04 1.4766250610e-10 0.0000000000e+00 2.9392175695e+02 6.3282197470e+02 5.1185465492e-02 inf 1.0003900817e+00 1.0000000000e+00 2.5132741229e+03 1.9904968750e+02 3.4637832989e-04 3.3383322699e+09 4.2770018920e+00 1.0000000000e+00
5.7524030345e-02 0.0000000000e+00 1.4654996947e-04 1.4766250610e-10 0.0000000000e+00 2.6306029317e+02 5.6754038075e+02 5.7534122424e-02 inf 1.0004897224e+00 1.0000000000e+00 2.5132741229e+03 1.7814968750e+02 4.1529855449e-04 2.3222923933e+09 4.2614050162e+00 1.0000000000e+00
6.4218996120e-02 0.0000000000e+00 1.8025005356e-04 1.4766250610e-10 0.0000000000e+00 2.3726388408e+02 5.1169465167e+02 6.4232962469e-02 inf 1.0006059314e+00 1.0000000000e+00 2.5132741229e+03 1.6067984375e+02 3.8683679138e-04 1.2888037839e+09 4.2433574324e+00 1.0000000000e+00
7.1283185446e-02 0.0000000000e+00 2.1875680574e-04 1.4766250610e-10 0.0000000000e+00 2.1545413193e+02 4.6435405221e+02 7.1302168393e-02 inf 1.0007403913e+00 1.0000000000e+00 2.5132741229e+03 1.4590984375e+02 3.9244498502e-04 8.0470078262e+08 4.2226674490e+00 1.0000000000e+00
7.8740844175e-02 0.0000000000e+00 2.6239067055e-04 1.4766250610e-10 0.0000000000e+00 1.9678959116e+02 4.2385022679e+02 7.8766250026e-02 inf 1.0008949357e+00 1.0000000000e+00 2.5132741229e+03 1.3326984375e+02 4.0632130090e-04 5.2789322446e+08 4.1991378453e+00 1.0000000000e+00
