# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
9.3185141185e-01 0.0000000000e+00 3.5443713742e-04 1.4766250610e-10 0.0000000000e+00 1.6945583080e+03 3.5309335326e+03 9.3226620459e+00 inf 1.0012286628e-01 1.0000000000e-01 2.5132741229e+01 4.9082931818e-04 2.5582268279e+13 4.1491946568e+00 1.0000000000e+00
1.0285985818e+00 0.0000000000e+00 4.2073628850e-04 1.4766250610e-10 0.0000000000e+00 1.5562576048e+03 3.3221978140e+03 1.0291503551e+01 inf 1.0014756317e-01 1.0000000000e-01 2.5132741229e+01 4.4028628246e-04 1.6920907153e+13 4.1130471162e+00 1.0000000000e+00
1.1318768504e+00 0.0000000000e+00 4.9482685234e-04 1.4766250610e-10 0.0000000000e+00 1.4359431177e+03 3.0783784068e+03 1.1326030209e+01 inf 1.0017582822e-01 1.0000000000e-01 2.5132741229e+01 4.3892811415e-04 1.1522960970e+13 4.0724309850e+00 1.0000000000e+00
1.2423724254e+00 0.0000000000e+00 5.7714168519e-04 1.4766250610e-10 0.0000000000e+00 1.3305416208e+03 2.8507123549e+03 1.2433194347e+01 inf 1.0020806990e-01 1.0000000000e-01 2.5132741229e+01 4.4916985048e-04 8.0304245668e+12 4.0270807616e+00 1.0000000000e+00
1.3608328700e+00 0.0000000000e+00 6.6811364332e-04 1.4766250610e-10 0.0000000000e+00 1.2373370470e+03 2.4309964475e+03 1.3620582263e+01 inf 1.0024475091e-01 1.0000000000e-01 2.5132741229e+01 7.0644052188e-04 5.6958523433e+12 3.9766077664e+00 1.0000000000e+00
1.4882621898e+00 0.0000000000e+00 7.6817558299e-04 1.4766250610e-10 0.0000000000e+00 1.1550890311e+03 2.3739839539e+03 1.4898375356e+01 inf 1.0028639529e-01 1.0000000000e-01 2.5132741229e+01 5.7779543418e-04 4.1373722248e+12 3.9210489533e+00 1.0000000000e+00
1.6256003430e+00 0.0000000000e+00 8.7776036047e-04 1.4766250610e-10 0.0000000000e+00 1.0816417005e+03 2.3061330324e+03 1.6276143388e+01 inf 1.0033360113e-01 1.0000000000e-01 2.5132741229e+01 4.9358636225e-04 3.0573604687e+12 3.8598997099e+00 1.0000000000e+00
1.7740189173e+00 0.0000000000e+00 9.9730083201e-04 1.4766250610e-10 0.0000000000e+00 1.0157699180e+03 2.1553257763e+03 1.7765816976e+01 inf 1.0038704953e-01 1.0000000000e-01 2.5132741229e+01 5.1965557822e-04 2.2953120910e+12 3.7929490786e+00 1.0000000000e+00
1.9348475526e+00 0.0000000000e+00 1.1272298539e-03 1.4766250610e-10 0.0000000000e+00 9.5646865557e+02 2.0296206849e+03 1.9380960715e+01 inf 1.0044751807e-01 1.0000000000e-01 2.5132741229e+01 5.3521742561e-04 1.7505173883e+12 3.7200300216e+00 1.0000000000e+00
2.1093391902e+00 0.0000000000e+00 1.2679802824e-03 1.4766250610e-10 0.0000000000e+00 9.0221745083e+02 1.6427301527e+03 2.1134425521e+01 inf 1.0051589777e-01 1.0000000000e-01 2.5132741229e+01 1.1842518476e-03 1.3453583868e+12 3.6406852991e+00 1.0000000000e+00
2.2998622854e+00 0.0000000000e+00 1.4199849737e-03 1.4766250610e-10 0.0000000000e+00 8.5427143509e+02 1.8045977919e+03 2.3050353064e+01 inf 1.0059319756e-01 1.0000000000e-01 2.5132741229e+01 5.8484940670e-04 1.0629393136e+12 3.5557180122e+00 1.0000000000e+00
2.5075553134e+00 0.0000000000e+00 1.5836767842e-03 1.4766250610e-10 0.0000000000e+00 8.0995791701e+02 1.6081475937e+03 2.5140609646e+01 inf 1.0068058554e-01 1.0000000000e-01 2.5132741229e+01 8.2620591431e-04 8.4388003700e+11 3.4641761153e+00 1.0000000000e+00
2.7348074577e+00 0.0000000000e+00 1.7594885700e-03 1.4766250610e-10 0.0000000000e+00 7.6958698785e+02 1.5715715910e+03 2.7429758837e+01 inf 1.0077938426e-01 1.0000000000e-01 2.5132741229e+01 7.4631002474e-04 6.7944316546e+11 3.3665315226e+00 1.0000000000e+00
2.9838407057e+00 0.0000000000e+00 1.9478531875e-03 1.4766250610e-10 0.0000000000e+00 7.3259753007e+02 1.5178224388e+03 2.9940830723e+01 inf 1.0089110557e-01 1.0000000000e-01 2.5132741229e+01 7.2294389376e-04 5.5306050108e+11 3.2628944164e+00 1.0000000000e+00
3.2571620368e+00 0.0000000000e+00 2.1492034929e-03 1.4766250610e-10 0.0000000000e+00 6.9860585189e+02 1.4527625693e+03 3.2699909440e+01 inf 1.0101746847e-01 1.0000000000e-01 2.5132741229e+01 7.4030161866e-04 4.5493046302e+11 3.1535959539e+00 1.0000000000e+00
3.5574709035e+00 0.0000000000e+00 2.3639723425e-03 1.4766250610e-10 0.0000000000e+00 6.6731616684e+02 1.3854727653e+03 3.5735246972e+01 inf 1.0116042240e-01 1.0000000000e-01 2.5132741229e+01 7.7957199250e-04 3.7792843989e+11 3.0391075798e+00 1.0000000000e+00
3.8876349868e+00 0.0000000000e+00 2.5925925926e-03 1.4766250610e-10 0.0000000000e+00 6.3841861440e+02 1.3208851851e+03 3.9077071643e+01 inf 1.0132216943e-01 1.0000000000e-01 2.5132741229e+01 8.2979735572e-04 3.1685535994e+11 2.9200574767e+00 1.0000000000e+00
4.2503184988e+00 0.0000000000e+00 2.8354970993e-03 1.4766250610e-10 0.0000000000e+00 6.1139637578e+02 1.0958475258e+03 4.2753877131e+01 inf 1.0150518721e-01 1.0000000000e-01 2.5132741229e+01 1.7776959673e-03 2.6679215946e+11 2.7971341205e+00 1.0000000000e+00
4.6494028686e+00 0.0000000000e+00 3.0931187191e-03 1.4766250610e-10 0.0000000000e+00 5.8681056852e+02 1.0895275705e+03 4.6806917375e+01 inf 1.0171223638e-01 1.0000000000e-01 2.5132741229e+01 1.5624101099e-03 2.2779863842e+11 2.6715607646e+00 1.0000000000e+00
5.0872753910e+00 0.0000000000e+00 3.3658903080e-03 1.4766250610e-10 0.0000000000e+00 5.6386381507e+02 1.0792797926e+03 5.1262758905e+01 inf 1.0194639330e-01 1.0000000000e-01 2.5132741229e+01 1.4064530585e-03 1.9559623993e+11 2.5442281344e+00 1.0000000000e+00
5.5668193790e+00 0.0000000000e+00 3.6542447225e-03 1.4766250610e-10 0.0000000000e+00 5.4245275169e+02 1.0629483194e+03 5.6153547049e+01 inf 1.0221104275e-01 1.0000000000e-01 2.5132741229e+01 1.3101305460e-03 1.6882644132e+11 2.4163711204e+00 1.0000000000e+00
6.0905670176e+00 0.0000000000e+00 3.9586148187e-03 1.4766250610e-10 0.0000000000e+00 5.2247401461e+02 1.0384954084e+03 6.1508476144e+01 inf 1.0250988538e-01 1.0000000000e-01 2.5132741229e+01 1.2761821718e-03 1.4638645736e+11 2.2892850654e+00 1.0000000000e+00
6.6605323584e+00 0.0000000000e+00 4.2794334530e-03 1.4766250610e-10 0.0000000000e+00 5.0376517509e+02 1.0063640471e+03 6.7352134212e+01 inf 1.0284693271e-01 1.0000000000e-01 2.5132741229e+01 1.2996508940e-03 1.2739953604e+11 2.1642795919e+00 1.0000000000e+00
7.2780221473e+00 0.0000000000e+00 4.6171334815e-03 1.4766250610e-10 0.0000000000e+00 4.8623763561e+02 9.7012766810e+02 7.3702588227e+01 inf 1.0322649561e-01 1.0000000000e-01 2.5132741229e+01 1.3624017598e-03 1.1117714594e+11 2.0426218026e+00 1.0000000000e+00
7.9397430720e+00 0.0000000000e+00 4.9721477606e-03 1.4766250610e-10 0.0000000000e+00 4.6862149864e+02 7.3608259593e+02 8.0531049356e+01 inf 1.0365317905e-01 1.0000000000e-01 2.5132741229e+01 4.6706100964e-03 9.5846193900e+10 1.9253157548e+00 1.0000000000e+00
8.6541104338e+00 0.0000000000e+00 5.3449091466e-03 1.4766250610e-10 0.0000000000e+00 4.5367805302e+02 7.3521138715e+02 8.7930693161e+01 inf 1.0413180630e-01 1.0000000000e-01 2.5132741229e+01 4.1348058783e-03 8.4349939145e+10 1.8137835740e+00 1.0000000000e+00
9.4130078765e+00 0.0000000000e+00 5.7358504956e-03 1.4766250610e-10 0.0000000000e+00 4.3929584029e+02 7.3391207246e+02 9.5824239203e+01 inf 1.0466749104e-01 1.0000000000e-01 2.5132741229e+01 3.6600775661e-03 7.4007996900e+10 1.7085309226e+00 1.0000000000e+00
