# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+01 2.5132741229e+04 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0060586254e-04 0.0000000000e+00 4.7473265134e-08 1.4766250610e-10 0.0000000000e+00 1.4597620028e+03 3.1517085302e+03 1.0060583990e-05 inf 1.0000001546e+01 1.0000000000e+01 2.5132741229e+04 9.8858000000e+02 0.0000000000e+00 0.0000000000e+00 4.7473265134e-02 1.0000000000e+00
2.8455730369e-04 0.0000000000e+00 3.7978612107e-07 1.4766250610e-10 0.0000000000e+00 5.1609522507e+02 1.1161661174e+03 2.8455743557e-05 inf 1.0000012367e+01 1.0000000000e+01 2.5132741229e+04 3.4951000000e+02 0.0000000000e+00 0.0000000000e+00 3.7978612107e-01 1.0000000000e+00
5.2276989714e-04 0.0000000000e+00 1.2817781586e-06 1.4766250610e-10 0.0000000000e+00 2.8092422629e+02 6.0700733851e+02 5.2277066391e-05 inf 1.0000041740e+01 1.0000000000e+01 2.5132741229e+04 1.9024750000e+02 0.0000000000e+00 0.0000000000e+00 1.2817781586e+00 1.0000000000e+00
8.0487134530e-04 0.0000000000e+00 3.0382889686e-06 1.4766250610e-10 0.0000000000e+00 1.8246471301e+02 3.9462620177e+02 8.0487417904e-05 inf 1.0000098942e+01 1.0000000000e+01 2.5132741229e+04 1.2356875000e+02 0.0000000000e+00 0.0000000000e+00 3.0382889686e+00 1.0000000000e+00
1.1248750003e-03 0.0000000000e+00 5.9341581418e-06 1.4766250610e-10 0.0000000000e+00 1.3056226500e+02 2.8237408752e+02 1.1248827233e-04 inf 1.0000193259e+01 1.0000000000e+01 2.5132741229e+04 8.8419375000e+01 8.0353355604e-09 1.3699970748e+03 4.3387658025e+00 1.0000000000e+00
1.4787514825e-03 0.0000000000e+00 1.0254225269e-05 1.4766250610e-10 0.0000000000e+00 9.9317340158e+01 2.1480418618e+02 1.4787690247e-04 inf 1.0000333984e+01 1.0000000000e+01 2.5132741229e+04 6.7259687500e+01 2.4522007876e-05 1.0650429821e+06 4.3384503692e+00 1.0000000000e+00
1.8635539474e-03 0.0000000000e+00 1.6283329941e-05 1.4766250610e-10 0.0000000000e+00 7.8807018060e+01 1.7046113560e+02 1.8635890586e-04 inf 1.0000530426e+01 1.0000000000e+01 2.5132741229e+04 5.3369687500e+01 1.2379224869e-04 1.6922913308e+06 4.3380101621e+00 1.0000000000e+00
2.2770117239e-03 0.0000000000e+00 2.4306311749e-05 1.4766250610e-10 0.0000000000e+00 6.4498751942e+01 1.3951130504e+02 2.2770757711e-04 inf 1.0000791917e+01 1.0000000000e+01 2.5132741229e+04 4.3679843750e+01 inf inf 4.3374243659e+00 1.0000000000e+00
2.7173117004e-03 0.0000000000e+00 3.4608010283e-05 1.4766250610e-10 0.0000000000e+00 5.4059128122e+01 1.1691905697e+02 2.7174205425e-04 inf 1.0001127816e+01 1.0000000000e+01 2.5132741229e+04 3.6609921875e+01 1.7796733650e-05 3.6936837203e+04 4.3366723367e+00 1.0000000000e+00
