# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 0.0000000000e+00 1.4766250610e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
2.7281178199e-06 0.0000000000e+00 4.1539106992e-08 1.4766250610e-10 0.0000000000e+00 6.5267123022e+03 7.3824091420e+03 2.7462512406e-05 inf 1.0000197393e-01 1.0000000000e-01 0.0000000000e+00 6.5267123022e+03 -8.4613669724e-28 -1.7586502798e-09 2.3714890066e-02 1.0000000000e+00
1.7562915547e-04 0.0000000000e+00 3.3231285594e-07 1.4766250610e-10 0.0000000000e+00 6.5264981916e+03 7.3824017588e+03 1.7562654089e-03 inf 1.0000197618e-01 1.0000000000e-01 0.0000000000e+00 6.5264981916e+03 9.2899956658e-19 1.9308763619e+00 1.8955955052e-01 1.0000000000e+00
1.9846344854e-03 0.0000000000e+00 1.1215558888e-06 1.4766250610e-10 0.0000000000e+00 6.5242094228e+03 7.3824017588e+03 1.9845969247e-02 inf 1.0000199987e-01 1.0000000000e-01 0.0000000000e+00 6.5242094228e+03 1.8168432451e-11 3.7762123919e+07 6.3415686287e-01 1.0000000000e+00
1.0722842833e-02 0.0000000000e+00 2.6585028475e-06 1.4766250610e-10 0.0000000000e+00 6.5127951110e+03 7.3823722263e+03 1.0722651067e-01 inf 1.0000211712e-01 1.0000000000e-01 0.0000000000e+00 6.5127951110e+03 7.4706805144e-10 1.5527413501e+09 1.4407381566e+00 1.0000000000e+00
3.6257205667e-02 0.0000000000e+00 5.1923883740e-06 1.4766250610e-10 0.0000000000e+00 6.4756579907e+03 7.3822688626e+03 3.6256728557e-01 inf 1.0000248928e-01 1.0000000000e-01 0.0000000000e+00 6.4756579907e+03 3.0066346272e-07 6.2453335134e+11 2.4863328350e+00 1.0000000000e+00
8.3936319148e-02 0.0000000000e+00 8.9724471103e-06 1.4766250610e-10 0.0000000000e+00 6.3859161027e+03 7.3819883038e+03 8.3935972102e-01 inf 1.0000333436e-01 1.0000000000e-01 0.0000000000e+00 6.3859161027e+03 9.1520677507e-06 1.8975792351e+13 3.3985512324e+00 1.0000000000e+00
1.4347325705e-01 0.0000000000e+00 1.4247913698e-05 1.4766250610e-10 0.0000000000e+00 6.2098285641e+03 7.3813238226e+03 1.4347439721e+00 inf 1.0000481226e-01 1.0000000000e-01 0.0000000000e+00 6.2098285641e+03 -1.7237469467e-04 -3.5810233610e+14 3.9469703446e+00 1.0000000000e+00
2.0025338394e-01 0.0000000000e+00 2.1268022780e-05 1.4766250610e-10 0.0000000000e+00 5.9065519260e+03 7.3797659831e+03 2.0025754588e+00 inf 1.0000698457e-01 1.0000000000e-01 0.0000000000e+00 5.9065519260e+03 -7.5431324207e-04 -1.5678000949e+15 4.2011512365e+00 1.0000000000e+00
2.5017546951e-01 0.0000000000e+00 3.0282008997e-05 1.4766250610e-10 0.0000000000e+00 5.4426110980e+03 7.3759119917e+03 2.5018390757e+00 inf 1.0000987810e-01 1.0000000000e-01 0.0000000000e+00 5.4426110980e+03 7.2996234002e-04 1.5133440588e+15 4.2986380444e+00 1.0000000000e+00
2.9658635771e-01 0.0000000000e+00 4.1539106992e-05 1.4766250610e-10 0.0000000000e+00 4.8549586225e+03 7.3655977657e+03 2.9660050486e+00 inf 1.0001353278e-01 1.0000000000e-01 0.0000000000e+00 4.8549586225e+03 6.6117235992e-04 1.3611728369e+15 4.3289473511e+00 1.0000000000e+00
3.4297808660e-01 0.0000000000e+00 5.5288551407e-05 1.4766250610e-10 0.0000000000e+00 4.2636072012e+03 7.3357847057e+03 3.4299998864e+00 inf 1.0001800955e-01 1.0000000000e-01 0.0000000000e+00 4.2636072012e+03 -4.9038451664e-03 -9.8930050420e+15 4.3361922590e+00 1.0000000000e+00
3.9088489105e-01 0.0000000000e+00 7.1779576883e-05 1.4766250610e-10 0.0000000000e+00 3.7514988638e+03 7.2441158219e+03 3.9091732265e+00 inf 1.0002338272e-01 1.0000000000e-01 0.0000000000e+00 3.7514988638e+03 2.7698505061e-04 5.2473721531e+14 4.3373034748e+00 1.0000000000e+00
