# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
6.4257332240e-03 0.0000000000e+00 1.9445049399e-04 1.4766250610e-10 0.0000000000e+00 2.2784295851e+01 4.9319248197e+01 6.4271760742e-04 inf 1.0006338607e+01 1.0000000000e+01 0.0000000000e+00 1.5429980469e+01 3.7874834702e-04 1.0506789455e+04 4.3348082565e+00 1.0000000000e+00
7.0346186222e-03 0.0000000000e+00 2.3323615160e-04 1.4766250610e-10 0.0000000000e+00 2.0805618269e+01 4.5022269270e+01 7.0365126042e-04 inf 1.0007604542e+01 1.0000000000e+01 0.0000000000e+00 1.4089980469e+01 3.7067417416e-04 6.5221387374e+03 4.3339332770e+00 1.0000000000e+00
7.6608771612e-03 0.0000000000e+00 2.7686408226e-04 1.4766250610e-10 0.0000000000e+00 1.9092747619e+01 4.1315954787e+01 7.6633246141e-04 inf 1.0009029168e+01 1.0000000000e+01 0.0000000000e+00 1.2929990234e+01 3.7073679876e-04 4.2402927803e+03 4.3329492803e+00 1.0000000000e+00
8.3038507518e-03 0.0000000000e+00 3.2561912555e-04 1.4766250610e-10 0.0000000000e+00 1.7601356307e+01 3.8096912154e+01 8.3069694156e-04 inf 1.0010622022e+01 1.0000000000e+01 0.0000000000e+00 1.1919990234e+01 3.7156613516e-04 2.8357141604e+03 4.3318504029e+00 1.0000000000e+00
8.9629106418e-03 0.0000000000e+00 3.7978612107e-04 1.4766250610e-10 0.0000000000e+00 1.6287160003e+01 3.5276558287e+01 8.9668348869e-04 inf 1.0012392686e+01 1.0000000000e+01 0.0000000000e+00 1.1029990234e+01 3.6915656389e-04 1.9185901331e+03 4.3306300458e+00 1.0000000000e+00
9.6374519200e-03 0.0000000000e+00 4.3964990841e-04 1.4766250610e-10 0.0000000000e+00 1.5135392455e+01 3.2781061934e+01 9.6423339886e-04 inf 1.0014350796e+01 1.0000000000e+01 0.0000000000e+00 1.0249990234e+01 3.6919891457e-04 1.3275235499e+03 4.3292817267e+00 1.0000000000e+00
1.0326888969e-02 0.0000000000e+00 5.0549532715e-04 1.4766250610e-10 0.0000000000e+00 1.4116521163e+01 3.0566124343e+01 1.0332900215e-03 inf 1.0016506048e+01 1.0000000000e+01 0.0000000000e+00 9.5599902345e+00 3.6793444643e-04 9.3249596913e+02 4.3277996771e+00 1.0000000000e+00
1.1030651566e-02 0.0000000000e+00 5.7760721689e-04 1.4766250610e-10 0.0000000000e+00 1.3201020835e+01 2.8587453971e+01 1.1037983695e-03 inf 1.0018868201e+01 1.0000000000e+01 0.0000000000e+00 8.9399951173e+00 3.6690652465e-04 6.6630907499e+02 4.3261776639e+00 1.0000000000e+00
1.1748181640e-02 0.0000000000e+00 6.5627041721e-04 1.4766250610e-10 0.0000000000e+00 1.2374110801e+01 2.6815503898e+01 1.1757047943e-03 inf 1.0021447086e+01 1.0000000000e+01 0.0000000000e+00 8.3799951173e+00 3.6610575883e-04 4.8244851710e+02 4.3244093088e+00 1.0000000000e+00
1.2478930461e-02 0.0000000000e+00 7.4176976772e-04 1.4766250610e-10 0.0000000000e+00 1.1635798271e+01 2.5220748832e+01 1.2489567024e-03 inf 1.0024252613e+01 1.0000000000e+01 0.0000000000e+00 7.8799951173e+00 3.6443033058e-04 3.5397863611e+02 4.3224889230e+00 1.0000000000e+00
1.3222356231e-02 0.0000000000e+00 8.3439010800e-04 1.4766250610e-10 0.0000000000e+00 1.0971316993e+01 2.3773656272e+01 1.3235023136e-03 inf 1.0027294775e+01 1.0000000000e+01 0.0000000000e+00 7.4299951173e+00 3.6374728149e-04 2.6277075667e+02 4.3204099169e+00 1.0000000000e+00
1.3977922075e-02 0.0000000000e+00 9.3441627763e-04 1.4766250610e-10 0.0000000000e+00 1.0365900718e+01 2.2459459968e+01 1.3992904561e-03 inf 1.0030583662e+01 1.0000000000e+01 0.0000000000e+00 7.0199951173e+00 3.6314129518e-04 1.9718669180e+02 4.3181665375e+00 1.0000000000e+00
1.4745094222e-02 0.0000000000e+00 1.0421331162e-03 1.4766250610e-10 0.0000000000e+00 9.8047831951e+00 2.1263393668e+01 1.4762703820e-03 inf 1.0034129461e+01 1.0000000000e+01 0.0000000000e+00 6.6399951173e+00 3.6152607542e-04 1.4945098948e+02 4.3157531227e+00 1.0000000000e+00
1.5523340495e-02 0.0000000000e+00 1.1578254634e-03 1.4766250610e-10 0.0000000000e+00 9.2953511541e+00 2.0178077854e+01 1.5543915906e-03 inf 1.0037942470e+01 1.0000000000e+01 0.0000000000e+00 6.2949975587e+00 3.5866883720e-04 1.1431862400e+02 4.3131638443e+00 1.0000000000e+00
