# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0046138252e-03 0.0000000000e+00 5.3407423276e-08 1.4766250610e-10 0.0000000000e+00 1.1804450829e+04 1.4759487667e+04 1.0046080516e-03 inf 1.0000001753e+00 1.0000000000e+00 0.0000000000e+00 7.9942100001e+03 0.0000000000e+00 0.0000000000e+00 5.3407423276e-02 1.0000000000e+00
3.0181603234e-03 0.0000000000e+00 4.2725938621e-07 1.4766250610e-10 0.0000000000e+00 4.8659077973e+03 1.0509745976e+04 3.0181619356e-03 inf 1.0000013913e+00 1.0000000000e+00 0.0000000000e+00 3.2952900000e+03 0.0000000000e+00 0.0000000000e+00 4.2725938621e-01 1.0000000000e+00
5.5446570063e-03 0.0000000000e+00 1.4420004284e-06 1.4766250610e-10 0.0000000000e+00 2.6486519044e+03 5.7280501054e+03 5.5446662707e-03 inf 1.0000046956e+00 1.0000000000e+00 0.0000000000e+00 1.7937200000e+03 0.0000000000e+00 0.0000000000e+00 1.4420004284e+00 1.0000000000e+00
8.5363820396e-03 0.0000000000e+00 3.4180750897e-06 1.4766250610e-10 0.0000000000e+00 1.7203272611e+03 3.7204749712e+03 8.5364157808e-03 inf 1.0000111304e+00 1.0000000000e+00 0.0000000000e+00 1.1650400000e+03 0.0000000000e+00 0.0000000000e+00 3.4180750897e+00 1.0000000000e+00
1.1929551288e-02 0.0000000000e+00 6.6759279095e-06 1.4766250610e-10 0.0000000000e+00 1.2309515665e+03 2.6620965756e+03 1.1929643401e-02 inf 1.0000217395e+00 1.0000000000e+00 0.0000000000e+00 8.3362500000e+02 2.6059750363e-08 3.3086413222e+08 4.3390482274e+00 1.0000000000e+00
1.5681006508e-02 0.0000000000e+00 1.1536003428e-05 1.4766250610e-10 0.0000000000e+00 9.3639809087e+02 2.0237995520e+03 1.5681215707e-02 inf 1.0000375668e+00 1.0000000000e+00 0.0000000000e+00 6.3414750000e+02 -2.2216799621e-05 -7.1628232682e+10 4.3389378461e+00 1.0000000000e+00
1.9758831519e-02 0.0000000000e+00 1.8318746184e-05 1.4766250610e-10 0.0000000000e+00 7.4303403913e+02 1.5616011417e+03 1.9759250168e-02 inf 1.0000596570e+00 1.0000000000e+00 0.0000000000e+00 5.0319750000e+02 -1.9006192759e-06 -1.6761514476e+09 4.3387557036e+00 1.0000000000e+00
2.4138510557e-02 0.0000000000e+00 2.7344600717e-05 1.4766250610e-10 0.0000000000e+00 6.0817571809e+02 1.3148884723e+03 2.4139273913e-02 inf 1.0000890550e+00 1.0000000000e+00 0.0000000000e+00 4.1186875000e+02 -7.3888674270e-06 -2.7579654696e+09 4.3385809072e+00 1.0000000000e+00
2.8799363277e-02 0.0000000000e+00 3.8934011568e-05 1.4766250610e-10 0.0000000000e+00 5.0961099527e+02 1.0560065666e+03 2.8800659870e-02 inf 1.0001268072e+00 1.0000000000e+00 0.0000000000e+00 3.4511875000e+02 3.9758957492e-05 4.9583433692e+09 4.3382686881e+00 1.0000000000e+00
