# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+01 2.5132741229e+05 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0060676413e-04 0.0000000000e+00 4.7473265134e-08 1.4766250610e-10 0.0000000000e+00 1.4597620028e+03 3.1522548815e+03 1.0060672202e-05 inf 1.0000001546e+01 1.0000000000e+01 2.5132741229e+05 9.8858000000e+02 0.0000000000e+00 0.0000000000e+00 4.7473265134e-02 1.0000000000e+00
2.8457734068e-04 0.0000000000e+00 3.7978612107e-07 1.4766250610e-10 0.0000000000e+00 5.1610999132e+02 1.1161661174e+03 2.8457746444e-05 inf 1.0000012368e+01 1.0000000000e+01 2.5132741229e+05 3.4952000000e+02 0.0000000000e+00 0.0000000000e+00 3.7978612107e-01 1.0000000000e+00
5.2289407860e-04 0.0000000000e+00 1.2817781586e-06 1.4766250610e-10 0.0000000000e+00 2.8092422629e+02 6.0700733851e+02 5.2289484631e-05 inf 1.0000041748e+01 1.0000000000e+01 2.5132741229e+05 1.9024750000e+02 0.0000000000e+00 0.0000000000e+00 1.2817781586e+00 1.0000000000e+00
8.0532463171e-04 0.0000000000e+00 3.0382889686e-06 1.4766250610e-10 0.0000000000e+00 1.8246471301e+02 3.9461143552e+02 8.0532746569e-05 inf 1.0000098988e+01 1.0000000000e+01 2.5132741229e+05 1.2356875000e+02 0.0000000000e+00 0.0000000000e+00 3.0382889686e+00 1.0000000000e+00
1.1261126827e-03 0.0000000000e+00 5.9341581418e-06 1.4766250610e-10 0.0000000000e+00 1.3056226500e+02 2.8235932127e+02 1.1261204247e-04 inf 1.0000193436e+01 1.0000000000e+01 2.5132741229e+05 8.8419375000e+01 -8.1388538520e-09 -1.3872838086e+03 4.3360718287e+00 1.0000000000e+00
1.4815642883e-03 0.0000000000e+00 1.0254225269e-05 1.4766250610e-10 0.0000000000e+00 9.9332106408e+01 2.1478941993e+02 1.4815819062e-04 inf 1.0000334512e+01 1.0000000000e+01 2.5132741229e+05 6.7269687500e+01 1.4610713347e-07 6.3446532399e+03 4.3337939772e+00 1.0000000000e+00
1.8691864446e-03 0.0000000000e+00 1.6283329941e-05 1.4766250610e-10 0.0000000000e+00 7.8821784311e+01 1.7044636935e+02 1.8692217883e-04 inf 1.0000531759e+01 1.0000000000e+01 2.5132741229e+05 5.3379687500e+01 4.6462217646e-07 6.3488272228e+03 4.3306131782e+00 1.0000000000e+00
2.2872934066e-03 0.0000000000e+00 2.4306311749e-05 1.4766250610e-10 0.0000000000e+00 6.4513518193e+01 1.3949653879e+02 2.2873580873e-04 inf 1.0000794888e+01 1.0000000000e+01 2.5132741229e+05 4.3689843750e+01 2.3104867355e-06 1.1589868098e+04 4.3263772602e+00 1.0000000000e+00
2.7348006302e-03 0.0000000000e+00 3.4608010283e-05 1.4766250610e-10 0.0000000000e+00 5.4073894373e+01 1.1690429072e+02 2.7349110094e-04 inf 1.0001133846e+01 1.0000000000e+01 2.5132741229e+05 3.6619921875e+01 -2.0484454859e-05 -4.2488321026e+04 4.3209330832e+00 1.0000000000e+00
3.2111079755e-03 0.0000000000e+00 4.7473265134e-05 1.4766250610e-10 0.0000000000e+00 4.6173950296e+01 9.9804972512e+01 3.2112862951e-04 inf 1.0001558884e+01 1.0000000000e+01 2.5132741229e+05 3.1269921875e+01 3.6472510201e-04 3.4318077471e+05 4.3141258330e+00 1.0000000000e+00
3.7160307607e-03 0.0000000000e+00 6.3186915893e-05 1.4766250610e-10 0.0000000000e+00 4.0031190043e+01 8.6500580712e+01 3.7163064371e-04 inf 1.0002080642e+01 1.0000000000e+01 2.5132741229e+05 2.7109921875e+01 3.8915242397e-04 1.7900396834e+05 4.3057990935e+00 1.0000000000e+00
4.2497589184e-03 0.0000000000e+00 8.2033802152e-05 1.4766250610e-10 0.0000000000e+00 3.5128852521e+01 7.5913236705e+01 4.2501700366e-04 inf 1.0002710248e+01 1.0000000000e+01 2.5132741229e+05 2.3789960938e+01 3.8381606848e-04 9.1933760177e+04 4.2957945252e+00 1.0000000000e+00
4.8128340661e-03 0.0000000000e+00 1.0429876350e-04 1.4766250610e-10 0.0000000000e+00 3.1171497357e+01 6.7304512600e+01 4.8134291072e-04 inf 1.0003459419e+01 1.0000000000e+01 2.5132741229e+05 2.1109960938e+01 4.9777041622e-04 6.5355017827e+04 4.2839510423e+00 1.0000000000e+00
5.4061388942e-03 0.0000000000e+00 1.3026663953e-04 1.4766250610e-10 0.0000000000e+00 2.7893389722e+01 6.0216712307e+01 5.4069787742e-04 inf 1.0004340590e+01 1.0000000000e+01 2.5132741229e+05 1.8889960938e+01 3.5697917088e-04 2.6864539410e+04 4.2701051073e+00 1.0000000000e+00
