# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
3.9247381957e-01 0.0000000000e+00 7.2142710649e-05 1.4766250610e-10 0.0000000000e+00 3.7438425628e+03 7.8840186752e+03 3.9250660882e+00 inf 1.0002353003e-01 1.0000000000e-01 2.5132741229e+00 2.1976501985e-04 6.3570751656e+14 4.3339059668e+00 1.0000000000e+00
4.5290450957e-01 0.0000000000e+00 9.6021947874e-05 1.4766250610e-10 0.0000000000e+00 3.2450238509e+03 7.0086310402e+03 4.5295489107e+00 inf 1.0003133537e-01 1.0000000000e-01 2.5132741229e+00 2.8264668573e-04 4.5391111547e+14 4.3321891088e+00 1.0000000000e+00
5.1619689694e-01 0.0000000000e+00 1.2466260400e-04 1.4766250610e-10 0.0000000000e+00 2.8477563361e+03 6.1584087879e+03 5.1627147976e+00 inf 1.0004070816e-01 1.0000000000e-01 2.5132741229e+00 3.3481812614e-04 2.8165121155e+14 4.3301006432e+00 1.0000000000e+00
5.8224331650e-01 0.0000000000e+00 1.5849753530e-04 1.4766250610e-10 0.0000000000e+00 2.5252318903e+03 5.2903452133e+03 5.8235032944e+00 inf 1.0005179644e-01 1.0000000000e-01 2.5132741229e+00 4.2167358441e-04 1.6594224690e+14 4.3275995908e+00 1.0000000000e+00
6.5096366520e-01 0.0000000000e+00 1.9795959802e-04 1.4766250610e-10 0.0000000000e+00 2.2594393793e+03 4.8681042771e+03 6.5111318942e+00 inf 1.0006475018e-01 1.0000000000e-01 2.5132741229e+00 3.8143185965e-04 9.9032351771e+13 4.3247527552e+00 1.0000000000e+00
7.2227218708e-01 0.0000000000e+00 2.4348164844e-04 1.4766250610e-10 0.0000000000e+00 2.0370614909e+03 4.4042243599e+03 7.2247638433e+00 inf 1.0007972181e-01 1.0000000000e-01 2.5132741229e+00 3.6898112015e-04 5.8064609584e+13 4.3214376933e+00 1.0000000000e+00
7.9610629320e-01 0.0000000000e+00 2.9549654282e-04 1.4766250610e-10 0.0000000000e+00 1.8488656268e+03 3.9983148969e+03 7.9637966520e+00 inf 1.0009686646e-01 1.0000000000e-01 2.5132741229e+00 3.7453476303e-04 3.6344405325e+13 4.3176484785e+00 1.0000000000e+00
8.7241110428e-01 0.0000000000e+00 3.5443713742e-04 1.4766250610e-10 0.0000000000e+00 1.6878839627e+03 3.6502596038e+03 8.7277075733e+00 inf 1.0011634244e-01 1.0000000000e-01 2.5132741229e+00 3.7457879657e-04 2.3052747080e+13 4.3133566510e+00 1.0000000000e+00
9.5114031341e-01 0.0000000000e+00 4.2073628850e-04 1.4766250610e-10 0.0000000000e+00 1.5489344673e+03 3.3497673267e+03 9.5160624129e+00 inf 1.0013831166e-01 1.0000000000e-01 2.5132741229e+00 3.7397564092e-04 1.4978797385e+13 4.3085317056e+00 1.0000000000e+00
1.0322553139e+00 0.0000000000e+00 4.9482685234e-04 1.4766250610e-10 0.0000000000e+00 1.4279988748e+03 3.0851118171e+03 1.0328506961e+01 inf 1.0016294017e-01 1.0000000000e-01 2.5132741229e+00 3.7679858926e-04 1.0000563673e+13 4.3031423975e+00 1.0000000000e+00
1.1157250515e+00 0.0000000000e+00 5.7714168519e-04 1.4766250610e-10 0.0000000000e+00 1.3219624292e+03 2.8585532339e+03 1.1164765695e+01 inf 1.0019039861e-01 1.0000000000e-01 2.5132741229e+00 3.7525001966e-04 6.8016308262e+12 4.2971606680e+00 1.0000000000e+00
1.2015241857e+00 0.0000000000e+00 6.6811364332e-04 1.4766250610e-10 0.0000000000e+00 1.2283886991e+03 2.6564918606e+03 1.2024623571e+01 inf 1.0022086281e-01 1.0000000000e-01 2.5132741229e+00 3.7489400924e-04 4.7099046299e+12 4.2905544742e+00 1.0000000000e+00
1.2896336421e+00 0.0000000000e+00 7.6817558299e-04 1.4766250610e-10 0.0000000000e+00 1.1452842407e+03 2.4768161232e+03 1.2907931757e+01 inf 1.0025451438e-01 1.0000000000e-01 2.5132741229e+00 3.7509000251e-04 3.3202114676e+12 4.2832945940e+00 1.0000000000e+00
1.3800367667e+00 0.0000000000e+00 8.7776036047e-04 1.4766250610e-10 0.0000000000e+00 1.0710842928e+03 2.2830243116e+03 1.3814569293e+01 inf 1.0029154139e-01 1.0000000000e-01 2.5132741229e+00 4.0320316314e-04 2.3748595281e+12 4.2753393952e+00 1.0000000000e+00
1.4727326463e+00 0.0000000000e+00 9.9730083201e-04 1.4766250610e-10 0.0000000000e+00 1.0045328013e+03 2.1643331892e+03 1.4744576956e+01 inf 1.0033213883e-01 1.0000000000e-01 2.5132741229e+00 3.8230159046e-04 1.7242023040e+12 4.2666938731e+00 1.0000000000e+00
1.5677102496e+00 0.0000000000e+00 1.1272298539e-03 1.4766250610e-10 0.0000000000e+00 9.4455229132e+02 2.0410497629e+03 1.5697898130e+01 inf 1.0037650972e-01 1.0000000000e-01 2.5132741229e+00 3.7688796885e-04 1.2677744642e+12 4.2573004225e+00 1.0000000000e+00
1.6649706816e+00 0.0000000000e+00 1.2679802824e-03 1.4766250610e-10 0.0000000000e+00 8.9025678783e+02 1.9249722668e+03 1.6674602297e+01 inf 1.0042486552e-01 1.0000000000e-01 2.5132741229e+00 3.7578863589e-04 9.4325266151e+11 4.2471363226e+00 1.0000000000e+00
1.7645179462e+00 0.0000000000e+00 1.4199849737e-03 1.4766250610e-10 0.0000000000e+00 8.4090797829e+02 1.8185371324e+03 1.7674792690e+01 inf 1.0047742714e-01 1.0000000000e-01 2.5132741229e+00 3.7565865636e-04 7.0952309957e+11 4.2361752861e+00 1.0000000000e+00
1.8663235933e+00 0.0000000000e+00 1.5836767842e-03 1.4766250610e-10 0.0000000000e+00 7.9579708268e+02 1.6079999312e+03 1.8698250976e+01 inf 1.0053442631e-01 1.0000000000e-01 2.5132741229e+00 5.2696114311e-04 5.3798678735e+11 4.2242960243e+00 1.0000000000e+00
1.9704918537e+00 0.0000000000e+00 1.7594885700e-03 1.4766250610e-10 0.0000000000e+00 7.5470283795e+02 1.5747022668e+03 1.9746098536e+01 inf 1.0059610389e-01 1.0000000000e-01 2.5132741229e+00 4.4934021788e-04 4.1317138628e+11 4.2117199517e+00 1.0000000000e+00
2.0769636407e+00 0.0000000000e+00 1.9478531875e-03 1.4766250610e-10 0.0000000000e+00 7.1693076889e+02 1.5265790561e+03 2.0817819819e+01 inf 1.0066271557e-01 1.0000000000e-01 2.5132741229e+00 4.0626778510e-04 3.1986868801e+11 4.1982324455e+00 1.0000000000e+00
2.1857629755e+00 0.0000000000e+00 2.1492034929e-03 1.4766250610e-10 0.0000000000e+00 6.8215624871e+02 1.4670267674e+03 2.1913740887e+01 inf 1.0073452898e-01 1.0000000000e-01 2.5132741229e+00 3.8676281721e-04 2.4957320901e+11 4.1838294733e+00 1.0000000000e+00
2.2969108553e+00 0.0000000000e+00 2.3639723425e-03 1.4766250610e-10 0.0000000000e+00 6.5003965363e+02 1.4033546947e+03 2.3034163765e+01 inf 1.0081182616e-01 1.0000000000e-01 2.5132741229e+00 3.7953854271e-04 1.9618077782e+11 4.1684960883e+00 1.0000000000e+00
2.4104277805e+00 0.0000000000e+00 2.5925925926e-03 1.4766250610e-10 0.0000000000e+00 6.2032995740e+02 1.3409229872e+03 2.4179392203e+01 inf 1.0089490471e-01 1.0000000000e-01 2.5132741229e+00 3.7721367104e-04 1.5529954302e+11 4.1522129276e+00 1.0000000000e+00
2.5263345877e+00 0.0000000000e+00 2.8354970993e-03 1.4766250610e-10 0.0000000000e+00 5.9276136751e+02 1.2818579847e+03 2.5349740444e+01 inf 1.0098407900e-01 1.0000000000e-01 2.5132741229e+00 3.7652270230e-04 1.2375267149e+11 4.1349593626e+00 1.0000000000e+00
2.6446524990e+00 0.0000000000e+00 3.0931187191e-03 1.4766250610e-10 0.0000000000e+00 5.6711239020e+02 1.2265879087e+03 2.6545534125e+01 inf 1.0107968154e-01 1.0000000000e-01 2.5132741229e+00 3.7633533024e-04 9.9227607988e+10 4.1167150739e+00 1.0000000000e+00
2.7653230468e+00 0.0000000000e+00 3.3658903080e-03 1.4766250610e-10 0.0000000000e+00 5.4310246671e+02 1.0790435326e+03 2.7766299719e+01 inf 1.0118206617e-01 1.0000000000e-01 2.5132741229e+00 5.7440798381e-04 7.9795854634e+10 4.0973338836e+00 1.0000000000e+00
2.8885688876e+00 0.0000000000e+00 3.6542447225e-03 1.4766250610e-10 0.0000000000e+00 5.2086460866e+02 1.0656801912e+03 2.9014418891e+01 inf 1.0129160126e-01 1.0000000000e-01 2.5132741229e+00 4.9643544007e-04 6.4798079573e+10 4.0771179765e+00 1.0000000000e+00
3.0142658176e+00 0.0000000000e+00 3.9586148187e-03 1.4766250610e-10 0.0000000000e+00 5.0001466279e+02 1.0467793904e+03 3.0288770274e+01 inf 1.0140868577e-01 1.0000000000e-01 2.5132741229e+00 4.4284936504e-04 5.2856313126e+10 4.0558243876e+00 1.0000000000e+00
3.1424504579e+00 0.0000000000e+00 4.2794334530e-03 1.4766250610e-10 0.0000000000e+00 4.8047891324e+02 1.0394110313e+03 3.1589869704e+01 inf 1.0153373920e-01 1.0000000000e-01 2.5132741229e+00 3.7601561855e-04 4.3321907351e+10 4.0334670546e+00 1.0000000000e+00
3.2731213873e+00 0.0000000000e+00 4.6171334815e-03 1.4766250610e-10 0.0000000000e+00 4.6209493123e+02 9.9181940561e+02 3.2917856591e+01 inf 1.0166720796e-01 1.0000000000e-01 2.5132741229e+00 3.9099524341e-04 3.5636899893e+10 4.0100054992e+00 1.0000000000e+00
3.4063161177e+00 0.0000000000e+00 4.9721477606e-03 1.4766250610e-10 0.0000000000e+00 4.4481841801e+02 9.5915645926e+02 3.4273276101e+01 inf 1.0180956544e-01 1.0000000000e-01 2.5132741229e+00 3.8196393129e-04 2.9446612286e+10 3.9854702298e+00 1.0000000000e+00
3.5420363107e+00 0.0000000000e+00 5.3449091466e-03 1.4766250610e-10 0.0000000000e+00 4.2854600984e+02 9.2599146039e+02 3.5656319602e+01 inf 1.0196131571e-01 1.0000000000e-01 2.5132741229e+00 3.7781452289e-04 2.4427529797e+10 3.9598431816e+00 1.0000000000e+00
3.6802851041e+00 0.0000000000e+00 5.7358504956e-03 1.4766250610e-10 0.0000000000e+00 4.1317434296e+02 8.9362383905e+02 3.7067204073e+01 inf 1.0212299479e-01 1.0000000000e-01 2.5132741229e+00 3.7583538508e-04 2.0339379393e+10 3.9331197682e+00 1.0000000000e+00
3.8205000100e+00 0.0000000000e+00 6.1454046639e-03 1.4766250610e-10 0.0000000000e+00 3.9824566359e+02 7.3029434106e+02 3.8500362115e+01 inf 1.0229519171e-01 1.0000000000e-01 2.5132741229e+00 8.5310208047e-04 1.6829024116e+10 3.9048151287e+00 1.0000000000e+00
3.9643460877e+00 0.0000000000e+00 6.5740045079e-03 1.4766250610e-10 0.0000000000e+00 3.8491173929e+02 8.3306744530e+02 3.9973062243e+01 inf 1.0247845717e-01 1.0000000000e-01 2.5132741229e+00 3.7389052297e-04 1.4246632134e+10 3.8763767006e+00 1.0000000000e+00
4.1099430481e+00 0.0000000000e+00 7.0220828837e-03 1.4766250610e-10 0.0000000000e+00 3.7176983393e+02 7.2366435221e+02 4.1466250734e+01 inf 1.0267349945e-01 1.0000000000e-01 2.5132741229e+00 6.3313046105e-04 1.1932935336e+10 3.8462005567e+00 1.0000000000e+00
4.2582665349e+00 0.0000000000e+00 7.4900726477e-03 1.4766250610e-10 0.0000000000e+00 3.5946954717e+02 7.1842233325e+02 4.2990167673e+01 inf 1.0288097271e-01 1.0000000000e-01 2.5132741229e+00 5.5451945083e-04 1.0078227658e+10 3.8151662389e+00 1.0000000000e+00
4.4089742608e+00 0.0000000000e+00 7.9784066561e-03 1.4766250610e-10 0.0000000000e+00 3.4775991044e+02 7.1129023420e+02 4.4541539579e+01 inf 1.0310161886e-01 1.0000000000e-01 2.5132741229e+00 4.9332305097e-04 8.5297048382e+09 3.7830236766e+00 1.0000000000e+00
4.5620242358e+00 0.0000000000e+00 8.4875177651e-03 1.4766250610e-10 0.0000000000e+00 3.3661139122e+02 7.0185460006e+02 4.6120185905e+01 inf 1.0333621657e-01 1.0000000000e-01 2.5132741229e+00 4.4729125491e-04 7.2342692768e+09 3.7497993500e+00 1.0000000000e+00
4.7173533631e+00 0.0000000000e+00 9.0178388311e-03 1.4766250610e-10 0.0000000000e+00 3.2597969079e+02 6.8980533957e+02 4.7725718955e+01 inf 1.0358559474e-01 1.0000000000e-01 2.5132741229e+00 4.1451406005e-04 6.1480972098e+09 3.7155189128e+00 1.0000000000e+00
4.8748778228e+00 0.0000000000e+00 9.5698027103e-03 1.4766250610e-10 0.0000000000e+00 3.1583527662e+02 6.7529011522e+02 4.9357546110e+01 inf 1.0385063547e-01 1.0000000000e-01 2.5132741229e+00 3.9256459191e-04 5.2351849383e+09 3.6802094555e+00 1.0000000000e+00
5.0344925759e+00 0.0000000000e+00 1.0143842259e-02 1.4766250610e-10 0.0000000000e+00 3.0616338247e+02 6.5888481079e+02 5.1014862721e+01 inf 1.0413227714e-01 1.0000000000e-01 2.5132741229e+00 3.7870511952e-04 4.4659913634e+09 3.6439008386e+00 1.0000000000e+00
5.1960702739e+00 0.0000000000e+00 1.0740390333e-02 1.4766250610e-10 0.0000000000e+00 2.9690494333e+02 6.4143110257e+02 5.2696638450e+01 inf 1.0443151748e-01 1.0000000000e-01 2.5132741229e+00 3.7010168383e-04 3.8162838994e+09 3.6066266530e+00 1.0000000000e+00
5.3594597781e+00 0.0000000000e+00 1.1359879790e-02 1.4766250610e-10 0.0000000000e+00 2.8804519297e+02 6.2366730308e+02 5.4401599079e+01 inf 1.0474941693e-01 1.0000000000e-01 2.5132741229e+00 3.6450452006e-04 3.2661616812e+09 3.5684248050e+00 1.0000000000e+00
5.5244844613e+00 0.0000000000e+00 1.2002743484e-02 1.4766250610e-10 0.0000000000e+00 2.7956936512e+02 6.0609546486e+02 5.6128205461e+01 inf 1.0508710183e-01 1.0000000000e-01 2.5132741229e+00 3.6038575664e-04 2.7992586480e+09 3.5293379590e+00 1.0000000000e+00
5.6909404040e+00 0.0000000000e+00 1.2669414273e-02 1.4766250610e-10 0.0000000000e+00 2.7143316103e+02 5.8898138040e+02 5.7874630690e+01 inf 1.0544576783e-01 1.0000000000e-01 2.5132741229e+00 3.5687066338e-04 2.4020900406e+09 3.4894138343e+00 1.0000000000e+00
5.8585945803e+00 0.0000000000e+00 1.3360325013e-02 1.4766250610e-10 0.0000000000e+00 2.6363658071e+02 5.7244317972e+02 5.9638736424e+01 inf 1.0582668318e-01 1.0000000000e-01 2.5132741229e+00 3.5348888401e-04 2.0635199487e+09 3.4487054073e+00 1.0000000000e+00
6.0271831157e+00 0.0000000000e+00 1.4075908560e-02 1.4766250610e-10 0.0000000000e+00 2.5613532540e+02 5.5651039531e+02 6.1418049129e+01 inf 1.0623119209e-01 1.0000000000e-01 2.5132741229e+00 3.5002257788e-04 1.7743276982e+09 3.4072710135e+00 1.0000000000e+00
6.1964096981e+00 0.0000000000e+00 1.4816597770e-02 1.4766250610e-10 0.0000000000e+00 2.4892942394e+02 5.4119782227e+02 6.3209737071e+01 inf 1.0666071797e-01 1.0000000000e-01 2.5132741229e+00 3.4629532878e-04 1.5268573971e+09 3.3651743847e+00 1.0000000000e+00
6.3659442155e+00 0.0000000000e+00 1.5582825500e-02 1.4766250610e-10 0.0000000000e+00 2.4200405241e+02 5.2646110416e+02 6.5010588790e+01 inf 1.0711676667e-01 1.0000000000e-01 2.5132741229e+00 3.4232118314e-04 1.3147320867e+09 3.3224845704e+00 1.0000000000e+00
6.5354217135e+00 0.0000000000e+00 1.6375024606e-02 1.4766250610e-10 0.0000000000e+00 2.3532970713e+02 5.1230026982e+02 6.6816994033e+01 inf 1.0760092951e-01 1.0000000000e-01 2.5132741229e+00 3.3798020924e-04 1.1326262685e+09 3.2792758466e+00 1.0000000000e+00
6.7044417399e+00 0.0000000000e+00 1.7193627944e-02 1.4766250610e-10 0.0000000000e+00 2.2889162187e+02 4.9868578676e+02 6.8624927889e+01 inf 1.0811488623e-01 1.0000000000e-01 2.5132741229e+00 3.3325503443e-04 9.7607797508e+08 3.2356274807e+00 1.0000000000e+00
6.8725681726e+00 0.0000000000e+00 1.8039068370e-02 1.4766250610e-10 0.0000000000e+00 2.2268979661e+02 4.8557335622e+02 7.0429939214e+01 inf 1.0866040770e-01 1.0000000000e-01 2.5132741229e+00 3.2816343256e-04 8.4133837892e+08 3.1916234549e+00 1.0000000000e+00
7.0393296157e+00 0.0000000000e+00 1.8911778740e-02 1.4766250610e-10 0.0000000000e+00 2.1669469886e+02 4.7294821195e+02 7.2227144339e+01 inf 1.0923935848e-01 1.0000000000e-01 2.5132741229e+00 3.2270945177e-04 7.2524909665e+08 3.1473521043e+00 1.0000000000e+00
7.2042204350e+00 0.0000000000e+00 1.9812191912e-02 1.4766250610e-10 0.0000000000e+00 2.1090632862e+02 4.6078082144e+02 7.4011227024e+01 inf 1.0985369905e-01 1.0000000000e-01 2.5132741229e+00 3.1688206688e-04 6.2514178330e+08 3.1029056649e+00 1.0000000000e+00
7.3667025223e+00 0.0000000000e+00 2.0740740741e-02 1.4766250610e-10 0.0000000000e+00 2.0530991964e+02 4.4905641846e+02 7.5776445777e+01 inf 1.1050548777e-01 1.0000000000e-01 2.5132741229e+00 3.1065425563e-04 5.3875595124e+08 3.0583797378e+00 1.0000000000e+00
7.5262078413e+00 0.0000000000e+00 2.1697858083e-02 1.4766250610e-10 0.0000000000e+00 1.9990547192e+02 4.3776023674e+02 7.7516649458e+01 inf 1.1119688261e-01 1.0000000000e-01 2.5132741229e+00 3.0400819282e-04 4.6417145745e+08 3.0138726696e+00 1.0000000000e+00
7.6821418112e+00 0.0000000000e+00 2.2683976795e-02 1.4766250610e-10 0.0000000000e+00 1.9467821920e+02 4.2684797754e+02 7.9225302036e+01 inf 1.1193014245e-01 1.0000000000e-01 2.5132741229e+00 2.9703828368e-04 3.9975282270e+08 2.9694848497e+00 1.0000000000e+00
7.8338875611e+00 0.0000000000e+00 2.3699529733e-02 1.4766250610e-10 0.0000000000e+00 1.8959862899e+02 4.1631964086e+02 8.0895517329e+01 inf 1.1270762812e-01 1.0000000000e-01 2.5132741229e+00 2.8969488136e-04 3.4410398021e+08 2.9253179722e+00 1.0000000000e+00
7.9808110463e+00 0.0000000000e+00 2.4744949753e-02 1.4766250610e-10 0.0000000000e+00 1.8469623379e+02 4.0616046044e+02 8.2520104043e+01 inf 1.1353180312e-01 1.0000000000e-01 2.5132741229e+00 2.8198860392e-04 2.9602989095e+08 2.8814741956e+00 1.0000000000e+00
8.1222670129e+00 0.0000000000e+00 2.5820669711e-02 1.4766250610e-10 0.0000000000e+00 1.7994150109e+02 3.9635567003e+02 8.4091621501e+01 inf 1.1440523405e-01 1.0000000000e-01 2.5132741229e+00 2.7393916574e-04 2.5450524677e+08 2.8380552816e+00 1.0000000000e+00
8.2576057476e+00 0.0000000000e+00 2.6927122464e-02 1.4766250610e-10 0.0000000000e+00 1.7531966465e+02 3.8689050339e+02 8.5602445880e+01 inf 1.1533059071e-01 1.0000000000e-01 2.5132741229e+00 2.6557498312e-04 2.1864835038e+08 2.7951616985e+00 1.0000000000e+00
8.3861805199e+00 0.0000000000e+00 2.8064740869e-02 1.4766250610e-10 0.0000000000e+00 1.7084549072e+02 3.7773542801e+02 8.7044846488e+01 inf 1.1631064606e-01 1.0000000000e-01 2.5132741229e+00 2.5698270934e-04 1.8769931019e+08 2.7528917074e+00 1.0000000000e+00
8.5073555963e+00 0.0000000000e+00 2.9233957780e-02 1.4766250610e-10 0.0000000000e+00 1.6651899371e+02 3.6890522457e+02 8.8411071283e+01 inf 1.1734827599e-01 1.0000000000e-01 2.5132741229e+00 2.4810519214e-04 1.6100207451e+08 2.7113404746e+00 1.0000000000e+00
8.6205146457e+00 0.0000000000e+00 3.0435206055e-02 1.4766250610e-10 0.0000000000e+00 1.6231061229e+02 3.6037033172e+02 8.9693440123e+01 inf 1.1844645902e-01 1.0000000000e-01 2.5132741229e+00 2.3904298450e-04 1.3798893279e+08 2.6705991665e+00 1.0000000000e+00
8.7250693759e+00 0.0000000000e+00 3.1668918550e-02 1.4766250610e-10 0.0000000000e+00 1.5822036087e+02 3.5214553013e+02 9.0884444348e+01 inf 1.1960827601e-01 1.0000000000e-01 2.5132741229e+00 2.2975476711e-04 1.1816804988e+08 2.6307541382e+00 1.0000000000e+00
8.8204681525e+00 0.0000000000e+00 3.2935528121e-02 1.4766250610e-10 0.0000000000e+00 1.5426300570e+02 3.4418652105e+02 9.1976850275e+01 inf 1.2083691003e-01 1.0000000000e-01 2.5132741229e+00 2.2039887424e-04 1.0111250088e+08 2.5918861313e+00 1.0000000000e+00
8.9062044117e+00 0.0000000000e+00 3.4235467624e-02 1.4766250610e-10 0.0000000000e+00 1.5040901429e+02 3.3650807073e+02 9.2963804577e+01 inf 1.2213564642e-01 1.0000000000e-01 2.5132741229e+00 2.1094412812e-04 8.6451516811e+07 2.5540696099e+00 1.0000000000e+00
8.9818245917e+00 0.0000000000e+00 3.5569169916e-02 1.4766250610e-10 0.0000000000e+00 1.4668791914e+02 3.2909541292e+02 9.3838938561e+01 inf 1.2350787327e-01 1.0000000000e-01 2.5132741229e+00 2.0145890864e-04 7.3862662039e+07 2.5173721347e+00 1.0000000000e+00
9.0469353853e+00 0.0000000000e+00 3.6937067852e-02 1.4766250610e-10 0.0000000000e+00 1.4307018774e+02 3.2194854763e+02 9.4596468868e+01 inf 1.2495708241e-01 1.0000000000e-01 2.5132741229e+00 1.9196773224e-04 6.3065452030e+07 2.4818538768e+00 1.0000000000e+00
9.1012100804e+00 0.0000000000e+00 3.8339594290e-02 1.4766250610e-10 0.0000000000e+00 1.3955582010e+02 3.1505270859e+02 9.5231291657e+01 inf 1.2648687098e-01 1.0000000000e-01 2.5132741229e+00 1.8254131960e-04 5.3815800810e+07 2.4475672252e+00 1.0000000000e+00
9.1443938153e+00 0.0000000000e+00 3.9777182085e-02 1.4766250610e-10 0.0000000000e+00 1.3614481620e+02 3.0840789582e+02 9.5739067734e+01 inf 1.2810094386e-01 1.0000000000e-01 2.5132741229e+00 1.7322707957e-04 4.5901342778e+07 2.4145565250e+00 1.0000000000e+00
9.1763075826e+00 0.0000000000e+00 4.1250264094e-02 1.4766250610e-10 0.0000000000e+00 1.3285194232e+02 3.0199934306e+02 9.6116296084e+01 inf 1.2980311699e-01 1.0000000000e-01 2.5132741229e+00 1.6405107638e-04 3.9137381234e+07 2.3828579279e+00 1.0000000000e+00
9.1968508871e+00 0.0000000000e+00 4.2759273172e-02 1.4766250610e-10 0.0000000000e+00 1.2966243219e+02 2.9582705030e+02 9.6360373834e+01 inf 1.3159732175e-01 1.0000000000e-01 2.5132741229e+00 1.5505917325e-04 3.3363383797e+07 2.3524993559e+00 1.0000000000e+00
9.2060029829e+00 0.0000000000e+00 4.4304642177e-02 1.4766250610e-10 0.0000000000e+00 1.2656151956e+02 2.8989101756e+02 9.6469640907e+01 inf 1.3348761055e-01 1.0000000000e-01 2.5132741229e+00 1.4627549784e-04 2.8439968754e+07 2.3235005819e+00 1.0000000000e+00
9.2038226832e+00 0.0000000000e+00 4.5886803965e-02 1.4766250610e-10 0.0000000000e+00 1.2356397068e+02 2.8417647857e+02 9.6443408256e+01 inf 1.3547816373e-01 1.0000000000e-01 2.5132741229e+00 1.3775892832e-04 2.4246254531e+07 2.2958734036e+00 1.0000000000e+00
9.1904467869e+00 0.0000000000e+00 4.7506191390e-02 1.4766250610e-10 0.0000000000e+00 1.2066978556e+02 2.7869819959e+02 9.6281969173e+01 inf 1.3757329788e-01 1.0000000000e-01 2.5132741229e+00 1.2949235123e-04 2.0677580484e+07 2.2696219236e+00 1.0000000000e+00
9.1660871796e+00 0.0000000000e+00 4.9163237311e-02 1.4766250610e-10 0.0000000000e+00 1.1787896420e+02 2.7341188187e+02 9.5986593424e+01 inf 1.3977747580e-01 1.0000000000e-01 2.5132741229e+00 1.2159367681e-04 1.7643438403e+07 2.2447428801e+00 1.0000000000e+00
9.1310267815e+00 0.0000000000e+00 5.0858374584e-02 1.4766250610e-10 0.0000000000e+00 1.1517674755e+02 2.6836183138e+02 9.5559505179e+01 inf 1.4209531801e-01 1.0000000000e-01 2.5132741229e+00 1.1395723398e-04 1.5065763700e+07 2.2212260937e+00 1.0000000000e+00
