# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 2.5132741229e+00 -nan -nan 0.0000000000e+00 1.0000000000e+00
6.6258151716e-05 0.0000000000e+00 7.2142710649e-08 1.4766250610e-10 0.0000000000e+00 1.3053099747e+04 1.4764803518e+04 6.6228769582e-04 inf 1.0000049391e-01 1.0000000000e-01 2.5132741229e+00 0.0000000000e+00 0.0000000000e+00 7.2142710649e-02 1.0000000000e+00
4.0895484143e-03 0.0000000000e+00 5.7714168519e-07 1.4766250610e-10 0.0000000000e+00 1.3032367931e+04 1.4764759219e+04 4.0895282086e-02 inf 1.0000052063e-01 1.0000000000e-01 2.5132741229e+00 0.0000000000e+00 0.0000000000e+00 5.7714168519e-01 1.0000000000e+00
3.4451927872e-02 0.0000000000e+00 1.9478531875e-06 1.4766250610e-10 0.0000000000e+00 1.2835533810e+04 1.4764183335e+04 3.4451867443e-01 inf 1.0000076072e-01 1.0000000000e-01 2.5132741229e+00 -7.6234016709e-08 -6.8222241665e+11 1.1225127789e+00 1.0000000000e+00
9.0123988682e-02 0.0000000000e+00 4.6171334815e-06 1.4766250610e-10 0.0000000000e+00 1.2071528004e+04 1.4761008591e+04 9.0124350376e-01 inf 1.0000152589e-01 1.0000000000e-01 2.5132741229e+00 -inf -inf 1.7663625812e+00 1.0000000000e+00
1.3777605237e-01 0.0000000000e+00 9.0178388311e-06 1.4766250610e-10 0.0000000000e+00 1.0267933856e+04 1.4743274324e+04 1.3777746778e+00 inf 1.0000293883e-01 1.0000000000e-01 2.5132741229e+00 9.4069577160e-05 4.6579545658e+14 2.5979781445e+00 1.0000000000e+00
1.8226766439e-01 0.0000000000e+00 1.5582825500e-05 1.4766250610e-10 0.0000000000e+00 8.0463957500e+03 1.4614217294e+04 1.8227094922e+00 inf 1.0000507605e-01 1.0000000000e-01 2.5132741229e+00 -1.7085388706e-05 -4.6156664007e+14 4.3337326280e+00 1.0000000000e+00
2.2974701282e-01 0.0000000000e+00 2.4744949753e-05 1.4766250610e-10 0.0000000000e+00 6.3933878254e+03 1.3598565044e+04 2.2975359191e+00 inf 1.0000806216e-01 1.0000000000e-01 2.5132741229e+00 -5.8148143063e-06 -2.5677962827e+14 4.3373772360e+00 1.0000000000e+00
2.8073218490e-01 0.0000000000e+00 3.6937067852e-05 1.4766250610e-10 0.0000000000e+00 5.2328048262e+03 1.1236363636e+04 2.8074418655e+00 inf 1.0001203779e-01 1.0000000000e-01 2.5132741229e+00 -1.3425456103e-05 -2.2835799200e+14 4.3364963556e+00 1.0000000000e+00
3.3503513787e-01 0.0000000000e+00 5.2592036063e-05 1.4766250610e-10 0.0000000000e+00 4.3852294243e+03 9.4828639925e+03 3.3505553710e+00 inf 1.0001714581e-01 1.0000000000e-01 2.5132741229e+00 4.4221626414e-05 3.2202706504e+14 4.3353594609e+00 1.0000000000e+00
