# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.4766250610e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
2.7281178199e-06 0.0000000000e+00 4.1539106992e-08 1.4766250610e-10 0.0000000000e+00 6.5267123022e+03 7.3824091420e+03 2.7462513479e-05 inf 1.0000197393e-01 1.0000000000e-01 2.5132741229e+01 6.5267123022e+03 8.4614775270e-28 1.7586732580e-09 2.3714889480e-02 1.0000000000e+00
1.7562960062e-04 0.0000000000e+00 3.3231285594e-07 1.4766250610e-10 0.0000000000e+00 6.5264981916e+03 7.3824017588e+03 1.7562697982e-03 inf 1.0000197619e-01 1.0000000000e-01 2.5132741229e+01 6.5264981916e+03 inf inf 1.8955925092e-01 1.0000000000e+00
1.9846903106e-03 0.0000000000e+00 1.1215558888e-06 1.4766250610e-10 0.0000000000e+00 6.5242168059e+03 7.3824017588e+03 1.9846531333e-02 inf 1.0000199994e-01 1.0000000000e-01 2.5132741229e+01 6.5242168059e+03 1.6982815057e-13 3.5297881003e+05 6.3414553784e-01 1.0000000000e+00
1.0724502389e-02 0.0000000000e+00 2.6585028475e-06 1.4766250610e-10 0.0000000000e+00 6.5128394098e+03 7.3823722263e+03 1.0724311665e-01 inf 1.0000211750e-01 1.0000000000e-01 2.5132741229e+01 6.5128394098e+03 -7.9051968061e-10 -1.6430532584e+09 1.4405989009e+00 1.0000000000e+00
3.6276915059e-02 0.0000000000e+00 5.1923883740e-06 1.4766250610e-10 0.0000000000e+00 6.4758056533e+03 7.3822688626e+03 3.6276437783e-01 inf 1.0000249074e-01 1.0000000000e-01 2.5132741229e+01 6.4758056533e+03 2.8401708278e-07 5.8984508250e+11 2.4854297255e+00 1.0000000000e+00
8.4050739208e-02 0.0000000000e+00 8.9724471103e-06 1.4766250610e-10 0.0000000000e+00 6.3863074083e+03 7.3819883038e+03 8.4050391599e-01 inf 1.0000333877e-01 1.0000000000e-01 2.5132741229e+01 6.3863074083e+03 -9.8240100235e-06 -2.0348405705e+13 3.3955198094e+00 1.0000000000e+00
1.4385147550e-01 0.0000000000e+00 1.4247913698e-05 1.4766250610e-10 0.0000000000e+00 6.2106850067e+03 7.3813312057e+03 1.4385262403e+00 inf 1.0000482350e-01 1.0000000000e-01 2.5132741229e+01 6.2106850067e+03 8.7713009493e-05 1.8217646811e+14 3.9410589662e+00 1.0000000000e+00
2.0110865795e-01 0.0000000000e+00 2.1268022780e-05 1.4766250610e-10 0.0000000000e+00 5.9080949992e+03 7.3797807494e+03 2.0111286081e+00 inf 1.0000700975e-01 1.0000000000e-01 2.5132741229e+01 5.9080949992e+03 5.1725397782e-04 1.0750849783e+15 4.1911766014e+00 1.0000000000e+00
2.5173487209e-01 0.0000000000e+00 3.0282008997e-05 1.4766250610e-10 0.0000000000e+00 5.4448998669e+03 7.3759415242e+03 2.5174342732e+00 inf 1.0000992930e-01 1.0000000000e-01 2.5132741229e+01 5.4448998669e+03 4.1968317169e-04 8.7009659904e+14 4.2837001075e+00 1.0000000000e+00
2.9913541722e-01 0.0000000000e+00 4.1539106992e-05 1.4766250610e-10 0.0000000000e+00 4.8577346776e+03 7.3656937463e+03 2.9914983215e+00 inf 1.0001362931e-01 1.0000000000e-01 2.5132741229e+01 4.8577346776e+03 -6.9959296656e-04 -1.4403641878e+15 4.3080901844e+00 1.0000000000e+00
