# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.0750529122e-01 2.8688289195e-04 0.0000000000e+00 3.9366867387e+01 1.0808062483e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.3802752758e+01
1.2044232486e-01 3.1128786018e-04 0.0000000000e+00 2.8833490854e+01 1.2120636600e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.1390316564e+01
1.3712819257e-01 3.3668894958e-04 0.0000000000e+00 2.3016958029e+01 1.3817669311e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0626163095e+01
1.5749409375e-01 3.6308616012e-04 0.0000000000e+00 1.9556622748e+01 1.5895037031e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0259775502e+01
1.8164795552e-01 3.9047949182e-04 0.0000000000e+00 1.7352406551e+01 1.8367221575e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0057662447e+01
2.0988545589e-01 4.1886894466e-04 0.0000000000e+00 1.5886452413e+01 2.1268774261e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 9.9746022872e+00
2.4192976526e-01 4.4825451867e-04 0.0000000000e+00 1.4897942782e+01 2.4576145687e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 9.9561444739e+00
2.7755780485e-01 4.7863621382e-04 0.0000000000e+00 1.4212999288e+01 2.8271508734e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 9.9819854125e+00
3.1586572792e-01 5.1001403013e-04 0.0000000000e+00 1.3738972361e+01 3.2265926264e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0050279322e+01
3.5468066514e-01 5.4238796759e-04 0.0000000000e+00 1.3413545251e+01 3.6335425349e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0127802137e+01
3.6020890151e-01 5.7575802620e-04 0.0000000000e+00 1.3374581961e+01 3.6916845590e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0135185263e+01
3.6238895763e-01 6.1012420596e-04 0.0000000000e+00 1.3358921660e+01 3.7146254879e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0142568388e+01
3.7160201900e-01 6.4548650688e-04 0.0000000000e+00 1.3290339347e+01 3.8116540679e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0150874404e+01
3.9530873098e-01 6.8184492895e-04 0.0000000000e+00 1.3097476829e+01 4.0619380342e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0151335849e+01
4.2468517702e-01 7.1919947217e-04 0.0000000000e+00 1.2879133876e+01 4.3733430569e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0158257529e+01
4.5764056001e-01 7.5755013655e-04 0.0000000000e+00 1.2676955930e+01 4.7243836866e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0159180420e+01
4.9365011244e-01 7.9689692207e-04 0.0000000000e+00 1.2499205747e+01 5.1100262915e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0160564756e+01
5.3709663584e-01 8.3723982875e-04 0.0000000000e+00 1.2329437125e+01 5.5782339676e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0192404484e+01
