# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
9.9930755472e-01 1.1833919293e-03 0.0000000000e+00 1.1720293237e+01 1.0768424818e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0542641490e+01
1.0725157892e+00 1.2326999263e-03 0.0000000000e+00 1.1693111223e+01 1.1628299467e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0592939031e+01
1.1442208596e+00 1.2820079234e-03 0.0000000000e+00 1.1666643007e+01 1.2481560549e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0630085381e+01
1.2164228093e+00 1.3313159204e-03 0.0000000000e+00 1.1639619615e+01 1.3352186223e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0667693175e+01
1.2854296947e+00 1.3806239175e-03 0.0000000000e+00 1.1616266155e+01 1.4195545686e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0700686516e+01
1.3540333934e+00 1.4299319145e-03 0.0000000000e+00 1.1591867233e+01 1.5045362645e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0723297338e+01
1.4169785035e+00 1.4792399116e-03 0.0000000000e+00 1.1565946984e+01 1.5835576670e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0746831050e+01
1.4818673991e+00 1.5285479087e-03 0.0000000000e+00 1.1537769978e+01 1.6661259992e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0759059351e+01
1.5392837475e+00 1.5778559057e-03 0.0000000000e+00 1.1509520872e+01 1.7401663921e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0762981636e+01
1.5983200402e+00 1.6271639028e-03 0.0000000000e+00 1.1474998993e+01 1.8173190952e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0761597300e+01
